"party","Vote_change_dummy","Vote3","Contribution_3_minus","Contribution_3_plus","state","BioID","seniority_113","birthday","Geographical","nominate_dim1","nominate_dim2","Vote3_minus","Vote3_plus","Vote3_NA"
"R",0,0,17500,0,"AL","R000575",6,1958,"SO",0.377,0.384,1,0,0
"R",0,0,17896,0,"AL","A000055",9,1965,"SO",0.403,0.479,1,0,0
"R",0,0,8500,0,"AL","B001274",2,1954,"SO",0.652,-0.417,1,0,0
"D",0,1,16000,0,"AL","S001185",2,1965,"SO",-0.398,0.4,0,1,0
"R",0,0,8600,0,"AK","Y000033",14,1933,"WE",0.283,0.022,1,0,0
"D",0,1,18300,0,"AZ","K000368",2,1950,"WE",-0.169,-0.01,0,1,0
"D",0,1,NA,NA,"AZ","G000551",6,1948,"WE",-0.598,-0.264,0,1,0
"R",0,0,19850,0,"AZ","G000565",2,1958,"WE",0.699,-0.499,1,0,0
"R",0,0,8750,0,"AZ","S001183",2,1962,"WE",0.561,-0.251,1,0,0
"R",0,0,9500,1000,"AR","C001087",2,1966,"SO",0.457,0.32,1,0,0
"R",0,0,7000,0,"AR","W000809",2,1957,"SO",0.348,0.621,1,0,0
"R",0,0,17500,0,"CA","L000578",1,1960,"WE",0.538,0.026,1,0,0
"D",0,1,7400,0,"CA","H001068",1,1964,"WE",-0.428,-0.527,0,1,0
"D",0,1,4500,1500,"CA","G000559",3,1945,"WE",-0.309,-0.096,0,1,0
"R",0,0,11450,0,"CA","M001177",3,1956,"WE",0.682,-0.401,1,0,0
"D",0,1,27385,1500,"CA","T000460",8,1951,"WE",-0.393,0.068,0,1,0
"D",0,1,27249,3850,"CA","M001163",5,1944,"WE",-0.435,-0.146,0,1,0
"D",0,1,2750,250,"CA","B001287",1,1965,"WE",-0.241,0.013,0,1,0
"D",0,1,20049,7500,"CA","M001166",4,1951,"WE",-0.263,-0.159,0,1,0
"D",0,1,1000,0,"CA","P000197",14,1940,"WE",-0.49,-0.197,0,1,0
"D",0,1,7100,0,"CA","L000551",9,1946,"WE",-0.677,-0.569,0,1,0
"D",0,1,250,0,"CA","S001175",4,1950,"WE",-0.381,-0.41,0,1,0
"D",0,1,16100,4350,"CA","S001193",1,1980,"WE",-0.362,-0.077,0,1,0
"D",1,0,24114,0,"CA","C001059",5,1952,"WE",-0.196,0.458,1,0,0
"D",0,1,3500,0,"CA","E000215",11,1942,"WE",-0.38,-0.397,0,1,0
"D",0,1,2000,10400,"CA","L000397",10,1947,"WE",-0.399,-0.419,0,1,0
"R",0,0,43500,1000,"CA","N000181",6,1973,"WE",0.45,0.223,1,0,0
"R",0,0,172660,3500,"CA","M001165",4,1965,"WE",0.453,0.233,1,0,0
"D",0,1,4100,250,"CA","B001285",1,1952,"WE",-0.294,0.051,0,1,0
"D",0,1,5100,1000,"CA","C001080",3,1953,"WE",-0.489,-0.379,0,1,0
"D",0,1,0,0,"CA","S001150",7,1960,"WE",-0.35,-0.133,0,1,0
"D",0,1,4000,0,"CA","C001097",1,1963,"WE",-0.395,-0.003,0,1,0
"D",0,1,0,0,"CA","S000344",9,1954,"WE",-0.343,-0.141,0,1,0
"D",0,1,2000,1500,"CA","N000179",8,1936,"WE",-0.449,-0.245,0,1,0
"D",0,1,1500,0,"CA","R000599",1,1972,"WE",-0.252,0.049,0,1,0
"D",0,1,4750,0,"CA","B001270",2,1953,"WE",-0.584,-0.098,0,1,0
"D",0,1,5500,500,"CA","S001156",6,1969,"WE",-0.508,-0.135,0,1,0
"D",0,1,5300,0,"CA","R000486",11,1941,"WE",-0.469,-0.171,0,1,0
"D",0,1,0,0,"CA","T000472",1,1960,"WE",-0.465,-0.293,0,1,0
"R",0,0,15600,0,"CA","C000059",11,1953,"WE",0.341,0.263,1,0,0
"D",0,1,10400,0,"CA","W000187",12,1938,"WE",-0.656,-0.079,0,1,0
"D",0,1,10500,0,"CA","L000579",1,1941,"WE",-0.449,-0.384,0,1,0
"R",0,0,54450,1500,"CA","I000056",7,1953,"WE",0.484,-0.001,1,0,0
"D",0,1,7600,0,"CA","V000130",1,1961,"WE",-0.404,0.048,0,1,0
"D",0,1,15700,0,"CA","P000608",1,1958,"WE",-0.188,-0.032,0,1,0
"D",0,1,0,0,"CO","D000197",9,1957,"WE",-0.431,-0.303,0,1,0
"R",0,0,20500,0,"CO","L000564",4,1954,"WE",0.667,0.232,1,0,0
"D",0,1,14700,2500,"CO","P000593",4,1953,"WE",-0.282,0.072,0,1,0
"D",0,1,10000,1000,"CT","L000557",8,1948,"NE",-0.396,-0.047,0,1,0
"D",0,1,8000,0,"CT","C001069",4,1953,"NE",-0.34,0.03,0,1,0
"D",0,1,NA,NA,"CT","D000216",12,1943,"NE",-0.414,-0.116,0,1,0
"D",0,1,2500,0,"CT","H001047",3,1966,"NE",-0.24,-0.226,0,1,0
"R",0,0,2000,0,"FL","P000599",3,1947,"SO",0.531,-0.351,1,0,0
"R",0,0,6500,0,"FL","W000806",2,1949,"SO",0.525,-0.094,1,0,0
"R",0,0,8500,0,"FL","B001257",4,1963,"SO",0.419,-0.017,1,0,0
"D",0,1,2500,0,"FL","C001066",4,1966,"SO",-0.437,0.06,0,1,0
"R",0,0,6000,0,"FL","B001260",4,1951,"SO",0.362,-0.095,1,0,0
"D",0,1,3500,0,"FL","H000324",11,1936,"SO",-0.564,0.157,0,1,0
"D",0,1,11000,2500,"FL","D000610",3,1966,"SO",-0.401,-0.078,0,1,0
"D",0,1,5600,0,"FL","F000462",1,1948,"SO",-0.397,-0.054,0,1,0
"D",0,NA,9500,5500,"FL","W000797",5,1966,"SO",-0.416,0.088,NA,NA,1
"D",0,1,2000,0,"FL","W000808",2,1942,"SO",-0.477,-0.012,0,1,0
"R",0,0,2500,0,"FL","D000600",6,1961,"SO",0.284,0.141,1,0,0
"D",1,1,20000,0,"GA","B000490",11,1947,"SO",-0.285,0.454,0,1,0
"D",0,1,2500,0,"GA","J000288",4,1954,"SO",-0.473,-0.025,0,1,0
"R",0,0,8500,0,"GA","S001189",2,1969,"SO",0.535,0.354,1,0,0
"D",0,1,2500,0,"GA","S001157",6,1945,"SO",-0.304,0.168,0,1,0
"R",0,0,103694,1000,"ID","S001148",8,1950,"WE",0.297,0.307,1,0,0
"D",0,NA,23000,0,"IL","R000515",11,1946,"MW",-0.479,-0.203,NA,NA,1
"D",0,1,3500,0,"IL","K000385",1,1956,"MW",-0.467,-0.023,0,1,0
"D",0,1,2000,0,"IL","Q000023",3,1958,"MW",-0.324,-0.259,0,1,0
"D",0,1,7500,0,"IL","D000096",9,1941,"MW",-0.486,-0.26,0,1,0
"D",0,1,0,3600,"IL","S001145",8,1944,"MW",-0.603,-0.276,0,1,0
"D",0,1,5500,0,"IL","S001190",1,1961,"MW",-0.187,-0.14,0,1,0
"D",0,1,12850,4850,"IL","F000454",3,1955,"MW",-0.233,-0.215,0,1,0
"R",0,0,39805,1500,"IL","D000619",1,1970,"MW",0.279,0.17,1,0,0
