"party","Vote_change_dummy","Vote51","Contribution_3_minus","Contribution_3_plus","Contribution_4_minus","Contribution_4_plus","Contribution_51_minus","Contribution_51_plus","Contribution_6_minus","Contribution_6_plus","Contribution_7_minus","Contribution_7_plus","state","BioID","seniority_1151","birthday","Geographical","nominate_dim1","nominate_dim2","Vote51_minus","Vote51_plus","Vote51_NA"
"R",0,0,17500,0,13000,0,15000,0,24300,0,16000,0,"AL","R000575",8,1958,"SO",0.377,0.384,1,0,0
"R",0,0,17896,0,20000,0,26950,0,8000,0,14750,0,"AL","A000055",11,1965,"SO",0.403,0.479,1,0,0
"R",0,0,8500,0,5000,0,6000,500,2500,0,14950,0,"AL","B001274",4,1954,"SO",0.652,-0.417,1,0,0
"D",0,1,16000,0,10250,0,15250,0,19500,0,21500,0,"AL","S001185",4,1965,"SO",-0.398,0.4,0,1,0
"R",0,0,8600,0,27800,0,32200,500,28011,1500,11633,0,"AK","Y000033",16,1933,"WE",0.283,0.022,1,0,0
"D",0,NA,18300,0,3605,3025,NA,NA,15970,0,0,0,"AZ","K000368",3,1950,"WE",-0.169,-0.01,NA,NA,1
"D",0,1,NA,NA,1500,0,NA,NA,NA,NA,NA,NA,"AZ","G000551",8,1948,"WE",-0.598,-0.264,0,1,0
"R",0,0,19850,0,16000,0,26000,2250,12700,0,0,0,"AZ","G000565",4,1958,"WE",0.699,-0.499,1,0,0
"R",0,0,8750,0,NA,NA,12000,0,23988,2000,5633,0,"AZ","S001183",4,1962,"WE",0.561,-0.251,1,0,0
"R",0,0,9500,1000,2500,0,9500,0,10000,0,6000,0,"AR","C001087",4,1966,"SO",0.457,0.32,1,0,0
"R",0,0,7000,0,11000,0,19500,0,7000,0,8500,0,"AR","W000809",4,1957,"SO",0.348,0.621,1,0,0
"R",0,0,17500,0,13400,501,10500,50,25988,250,3133,0,"CA","L000578",3,1960,"WE",0.538,0.026,1,0,0
"D",0,1,7400,0,13320,200,7500,1580,6500,0,3000,250,"CA","H001068",3,1964,"WE",-0.428,-0.527,0,1,0
"D",0,1,4500,1500,3000,0,2000,1000,8000,0,2000,0,"CA","G000559",5,1945,"WE",-0.309,-0.096,0,1,0
"R",0,0,11450,0,4925,0,11405,300,13688,0,4333,0,"CA","M001177",5,1956,"WE",0.682,-0.401,1,0,0
"D",0,1,27385,1500,10000,500,14500,5000,26330,0,47000,0,"CA","T000460",10,1951,"WE",-0.393,0.068,0,1,0
"D",0,1,27249,3850,4700,5400,15500,2700,24500,0,5000,0,"CA","M001163",7,1944,"WE",-0.435,-0.146,0,1,0
"D",0,1,2750,250,2550,5400,2650,2470,2250,0,1000,0,"CA","B001287",3,1965,"WE",-0.241,0.013,0,1,0
"D",0,1,20049,7500,17350,1350,27325,1100,27650,0,13000,3400,"CA","M001166",6,1951,"WE",-0.263,-0.159,0,1,0
"D",0,1,1000,0,5800,200,10720,125,27360,0,28930,3978,"CA","P000197",16,1940,"WE",-0.49,-0.197,0,1,0
"D",0,1,7100,0,2900,0,4700,500,650,0,0,0,"CA","L000551",11,1946,"WE",-0.677,-0.569,0,1,0
"D",0,1,250,0,0,0,1500,0,0,0,0,0,"CA","S001175",6,1950,"WE",-0.381,-0.41,0,1,0
"D",0,1,16100,4350,18600,800,19900,1850,25110,0,7470,0,"CA","S001193",3,1980,"WE",-0.362,-0.077,0,1,0
"D",1,NA,24114,0,58000,2000,36750,0,27500,0,48000,0,"CA","C001059",7,1952,"WE",-0.196,0.458,NA,NA,1
"D",0,1,3500,0,2150,0,2000,8400,9800,0,NA,NA,"CA","E000215",13,1942,"WE",-0.38,-0.397,0,1,0
"D",0,1,2000,10400,7500,0,0,10900,3000,700,12500,1075,"CA","L000397",12,1947,"WE",-0.399,-0.419,0,1,0
"R",0,0,43500,1000,56500,250,76600,1050,60257,1500,10287,500,"CA","N000181",8,1973,"WE",0.45,0.223,1,0,0
"R",0,0,172660,3500,202750,7900,248450,2800,380725,5600,314797,3050,"CA","M001165",6,1965,"WE",0.453,0.233,1,0,0
"D",0,1,4100,250,6015,3,6633,1250,7000,0,0,0,"CA","B001285",3,1952,"WE",-0.294,0.051,0,1,0
"D",0,1,5100,1000,0,0,4000,0,1000,0,1500,0,"CA","C001080",5,1953,"WE",-0.489,-0.379,0,1,0
"D",0,1,0,0,1000,0,8340,1050,13100,365,10800,3000,"CA","S001150",9,1960,"WE",-0.35,-0.133,0,1,0
"D",0,1,4000,0,13500,0,26000,0,16000,0,6000,0,"CA","C001097",3,1963,"WE",-0.395,-0.003,0,1,0
"D",0,1,0,0,3000,0,1000,0,2000,0,5400,0,"CA","S000344",11,1954,"WE",-0.343,-0.141,0,1,0
"D",0,1,2000,1500,5500,0,5500,0,9500,0,1500,0,"CA","N000179",10,1936,"WE",-0.449,-0.245,0,1,0
"D",0,1,1500,0,5150,250,7825,210,9300,1000,13870,5800,"CA","R000599",3,1972,"WE",-0.252,0.049,0,1,0
"D",0,1,4750,0,6500,0,1900,0,19250,0,0,1000,"CA","B001270",4,1953,"WE",-0.584,-0.098,0,1,0
"D",0,1,5500,500,13500,0,9000,0,1000,0,NA,NA,"CA","S001156",8,1969,"WE",-0.508,-0.135,0,1,0
"D",0,1,5300,0,2500,0,5000,0,3000,0,1000,0,"CA","R000486",13,1941,"WE",-0.469,-0.171,0,1,0
"D",0,1,0,0,2500,0,3000,0,1000,250,250,0,"CA","T000472",3,1960,"WE",-0.465,-0.293,0,1,0
"R",0,0,15600,0,60500,1000,31500,0,14300,0,2000,0,"CA","C000059",13,1953,"WE",0.341,0.263,1,0,0
