"BioID","GovtrackID","opensecrets_id","first_name","last_name","state","district","party","name","Vote_change","Vote_change_dummy","birthday","gender","nominate_dim1","nominate_dim2","Geographical","Instance","Vote","seniority","Contribution_minus","Contribution_plus","Dmajority","vote_change_to_pro","vote_change_to_anti","anti_env_dummy","pro_env_dummy"
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","3",1,11,20,0,0,NA,0,1,0
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","4",0,12,17.5,0,0,0,1,1,0
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","51",1,13,13.5,0,0,1,0,1,0
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","52",0,13,18,0,0,0,1,1,0
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","6",1,14,7.5,0,1,1,0,1,0
"B000490",400030,"N00002674","Sanford D.,Sanford","Bishop","GA",2,"D","bishop sanford d,bishop sanford",4,1,1947,"M",0.285,0.454,"SO","7",1,15,5,0,1,0,0,1,0
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","3",0,5,24.114,0,0,0,NA,1,0
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","4",1,6,58,2,0,1,0,1,1
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","51",NA,7,36.75,0,0,0,NA,1,0
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","52",1,7,59.75,0,0,NA,0,1,0
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","6",0,8,27.5,0,1,0,1,1,0
"C001059",400618,"N00026341","Jim","Costa","CA",NA,"D","costa jim",3,1,1952,"M",0.196,0.458,"WE","7",1,9,48,0,1,1,0,1,0
"C001063",400657,"N00024978","Henry","Cuellar","TX",28,"D","cuellar henry",1,1,1955,"M",0.227,0.622,"SO","3",0,5,65.1,0,0,0,NA,1,0
