"","LastName","FirstName","State","Party","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","member_id","Alias"
"1","Adams","Alma","NC","D",0,0,0,0,6390,0,"A000370",NA
"2","Aderholt","Robert B","AL","R",17500,13648,18397,0,0,0,"A000055",NA
"3","Aguilar","Pete","CA","D",500,0,0,0,43561,250,"A000371",NA
"4","Allen","Richard W","GA","R",39750,0,1750,10200,0,0,"A000372",NA
"5","Amash","Justin","MI","R",28000,0,0,0,0,0,"A000367",NA
"6","Amodei","Mark","NV","R",8750,0,28000,2500,0,3000,"A000369",NA
"7","Ashford","Brad","NE","D",500,0,0,0,8990,0,"A000373",NA
"8","Babin","Brian","TX","R",41050,0,0,2500,0,0,"B001291",NA
"9","Barletta","Lou","PA","R",33020,750,1750,4500,0,0,"B001269",NA
"10","Barr","Andy","KY","R",41050,168131,240810,1500,0,700,"B001282",NA
"11","Barton","Joe","TX","R",142100,5500,10500,9500,0,0,"B000213",NA
"12","Bass","Karen","CA","D",3250,0,3500,750,3600,1000,"B001270",NA
"13","Beatty","Joyce","OH","D",4500,0,0,0,1500,0,"B001281",NA
"14","Becerra","Xavier","CA","D",8000,0,0,2500,4000,1000,"B000287",NA
"15","Benishek","Dan","MI","R",113950,3000,18599,1500,2000,0,"B001271",NA
"16","Bera","Ami","CA","D",14150,0,0,0,84869,2750,"B001287",NA
"17","Beutler Herrera","Jaime","WA","R",0,0,0,0,0,0,"H001056",NA
"18","Beyer","Don","VA","D",8700,0,0,5100,17540,6450,"B001292",NA
"19","Bilirakis","Gus","FL","R",32500,1000,1000,1000,0,0,"B001257",NA
"20","Bishop","Mike","MI","R",24500,0,400,1000,0,0,"B001293",NA
"21","Bishop","Rob","UT","R",110600,7500,17750,11000,5750,3599,"B001250",NA
"22","Bishop","Sanford","GA","D",9000,1000,6000,0,0,0,"B000490",NA
"23","Black","Diane","TN","R",60625,1000,2000,5000,0,0,"B001273",NA
"24","Blackburn","Marsha","TN","R",101600,1000,4000,13500,0,0,"B001243",NA
"25","Blum","Rod","IA","R",6450,0,0,0,0,6250,"B001294",NA
"26","Blumenauer","Earl","OR","D",2500,0,0,2000,11250,8842,"B000574",NA
"27","Bonamici","Suzanne","OR","D",250,0,0,0,6390,3000,"B001278",NA
"28","Bost","Mike","IL","R",30300,16900,16900,0,0,0,"B001295",NA
"29","Boustany","Charles Jr","LA","R",236350,0,0,38250,0,0,"B001255","Jr."
"30","Boyle","Brendan","PA","D",11000,0,0,3000,4990,0,"B001296",NA
"31","Brady","Kevin","TX","R",321650,3000,3000,49950,0,1000,"B000755",NA
"32","Brady","Robert A","PA","D",18525,0,0,5000,0,0,"B001227",NA
"33","Brat","Dave","VA","R",24500,0,500,0,0,1000,"B001290",NA
"34","Bridenstine","James","OK","R",72950,0,0,3500,0,0,"B001283",NA
"35","Brooks","Mo","AL","R",5500,2500,2500,0,0,0,"B001274",NA
"36","Brooks","Susan","IN","R",40750,0,1000,1500,0,4000,"B001284",NA
"37","Brown","Corrine","FL","D",5000,0,0,0,0,0,"B000911",NA
"38","Brownley","Julia","CA","D",500,0,0,0,55362,1750,"B001285",NA
"39","Buchanan","Vernon","FL","R",3000,0,0,3000,0,0,"B001260",NA
"40","Buck","Ken","CO","R",124450,2000,7600,15350,0,500,"B001297",NA
"41","Bucshon","Larry","IN","R",20300,51050,98500,0,0,500,"B001275",NA
"42","Burgess","Michael","TX","R",67956,0,0,0,0,0,"B001248",NA
"43","Bustos","Cheri","IL","D",3000,0,0,2000,21946,16000,"B001286",NA
"44","Butterfield","G K","NC","D",17000,0,0,3000,1500,3500,"B001251",NA
"45","Byrne","Bradley","AL","R",35250,20000,20000,5000,1000,0,"B001289",NA
"46","Calvert","Ken","CA","R",35000,1000,10000,2500,1000,500,"C000059",NA
"47","Capps","Lois","CA","D",3000,0,0,0,42000,0,"C001036",NA
"48","Capuano","Michael E","MA","D",31250,0,0,11400,0,0,"C001037",NA
"49","Cardenas","Tony","CA","D",13500,0,0,10000,3000,250,"C001097",NA
"50","Carney","John","DE","D",0,0,0,0,0,0,"C001083","Jr."
"51","Carson","Andre","IN","D",8750,0,0,0,0,0,"C001072",NA
"52","Carter","Buddy","GA","R",33250,0,1000,1000,0,0,"C001103",NA
"53","Carter","John","TX","R",49600,0,0,6000,0,0,"C001051",NA
"54","Cartwright","Matt","PA","D",0,0,0,0,4000,0,"C001090",NA
"55","Castor","Kathy","FL","D",1500,0,0,1000,2500,250,"C001066",NA
"56","Castro","Joaquin","TX","D",43250,0,0,3000,4000,2900,"C001091",NA
"57","Chabot","Steve","OH","R",14600,0,0,1000,0,0,"C000266",NA
"58","Chaffetz","Jason","UT","R",39350,4000,8000,3250,0,0,"C001076",NA
