"","LastName","FirstName","Party","State","member_id","Amount.oil.114","Amount.coal.114","Amount.mining.114","Amount.gas.114","Amount.env.114","Amount.alt_en.114","Amount.oil.115","Amount.coal.115","Amount.mining.115","Amount.gas.115","Amount.env.115","Amount.alt_en.115","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116"
"1","Adams","Alma","D","NC","A000370",0,0,0,0,6390,0,0,0,0,0,8508,250,3,0,0,0,2263,0
"2","Aderholt","Robert B","R","AL","A000055",17500,13648,18397,0,0,0,19200,8000,9000,0,0,0,16053,3600,5600,0,0,2500
"3","Aguilar","Pete","D","CA","A000371",500,0,0,0,43561,250,1103,0,0,1100,30846,755,4983,0,0,646,8075,1528
"4","Allen","Richard W","R","GA","A000372",39750,0,1750,10200,0,0,15500,0,0,0,0,0,9800,0,1500,2500,0,0
"5","Amash","Justin","R","MI","A000367",28000,0,0,0,0,0,22650,0,0,0,0,0,19900,0,0,0,0,0
"6","Amodei","Mark","R","NV","A000369",8750,0,28000,2500,0,3000,10000,0,38450,2000,0,0,26000,1000,45700,6000,0,0
"7","Ashford","Brad","D","NE","A000373",500,0,0,0,8990,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","Babin","Brian","R","TX","B001291",41050,0,0,2500,0,0,53650,0,4700,7700,1000,0,81357,0,5400,11400,0,0
"9","Barletta","Lou","R","PA","B001269",33020,750,1750,4500,0,0,34550,4200,4950,9000,0,0,NA,NA,NA,NA,NA,NA
"10","Barr","Andy","R","KY","B001282",41050,168131,240810,1500,0,700,38500,87200,98050,3000,0,0,113547,74650,153625,20452,0,0
"11","Barton","Joe","R","TX","B000213",142100,5500,10500,9500,0,0,234282,4500,6500,18450,0,0,NA,NA,NA,NA,NA,NA
"12","Bass","Karen","D","CA","B001270",3250,0,3500,750,3600,1000,1000,0,5000,0,8700,0,3500,0,1000,0,1100,1000
"13","Beatty","Joyce","D","OH","B001281",4500,0,0,0,1500,0,5550,0,0,1500,0,0,1000,0,0,0,0,0
"14","Becerra","Xavier","D","CA","B000287",8000,0,0,2500,4000,1000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","Benishek","Dan","R","MI","B001271",113950,3000,18599,1500,2000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","Bera","Ami","D","CA","B001287",14150,0,0,0,84869,2750,3095,0,0,2745,44633,4815,10,0,0,10,13880,2625
"17","Beutler Herrera","Jaime","R","WA","H001056",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18","Beyer","Don","D","VA","B001292",8700,0,0,5100,17540,6450,22850,0,0,11600,5218,8400,15902,0,2500,8900,5380,11900
"19","Bilirakis","Gus","R","FL","B001257",32500,1000,1000,1000,0,0,23700,0,0,0,0,0,53600,0,0,7000,0,7600
"20","Bishop","Mike","R","MI","B001293",24500,0,400,1000,0,0,20400,0,1000,0,0,0,NA,NA,NA,NA,NA,NA
"21","Bishop","Rob","R","UT","B001250",110600,7500,17750,11000,5750,3599,151516,8000,28750,25750,14750,2000,121188,16750,31750,7250,5700,0
"22","Bishop","Sanford","D","GA","B000490",9000,1000,6000,0,0,0,14000,3000,7000,0,0,1000,11750,2500,8500,1000,0,1000
"23","Black","Diane","R","TN","B001273",60625,1000,2000,5000,0,0,43250,0,0,3000,1000,1000,NA,NA,NA,NA,NA,NA
"24","Blackburn","Marsha","R","TN","B001243",101600,1000,4000,13500,0,0,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA
"25","Blum","Rod","R","IA","B001294",6450,0,0,0,0,6250,21900,0,0,900,0,14050,NA,NA,NA,NA,NA,NA
"26","Blumenauer","Earl","D","OR","B000574",2500,0,0,2000,11250,8842,3900,0,0,3650,10650,17200,3532,0,0,3275,4838,16220
"27","Bonamici","Suzanne","D","OR","B001278",250,0,0,0,6390,3000,8150,0,0,2750,9358,0,3079,0,0,2564,2951,1500
"28","Bost","Mike","R","IL","B001295",30300,16900,16900,0,0,0,30250,27050,33400,2500,0,1000,56340,32250,86825,7899,0,18000
"29","Boustany","Charles Jr","R","LA","B001255",236350,0,0,38250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Boyle","Brendan","D","PA","B001296",11000,0,0,3000,4990,0,3750,0,0,3000,6899,0,6000,0,0,6000,2010,0
"31","Brady","Kevin","R","TX","B000755",321650,3000,3000,49950,0,1000,415650,0,0,82500,0,14700,377134,1000,1000,53450,0,19750
