"","LastName","FirstName","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","Party","State","District","Vote_count","Vote_change"
"1","Roby","Martha","-","-","-","-","-",NA,"R","AL","AL-02",5,0
"2","Rogers","Mike D.","-","-","-","-","-","-","R","AL","AL-03",6,0
"3","Aderholt","Robert B.","-","-","-","-","-","-","R","AL","AL-04",6,0
"4","Brooks","Mo","-","-","-","-","-","-","R","AL","AL-05",6,0
"5","Bachus","Spencer","-",NA,NA,NA,NA,NA,"R","AL","AL-06",1,0
"6","Sewell","Terri","+","+","+","+","+","+","D","AL","AL-07",6,0
"7","Young","Don","-","-","-","-","-","-","R","AK","AK-AL",6,0
"8","Kirkpatrick","Ann","+","+",NA,NA,NA,"+","D","AZ","AZ-01,AZ-02",3,0
"9","Barber","Ron","+",NA,NA,NA,NA,NA,"D","AZ","AZ-02",1,0
"10","Grijalva","Raul","+","+","+","+","+","+","D","AZ","AZ-03",6,0
"11","Gosar","Paul","-","-","-","-","-",NA,"R","AZ","AZ-04",5,0
"12","Salmon","Matt","-","-",NA,NA,NA,NA,"R","AZ","AZ-05",2,0
"13","Schweikert","David","-","-","-","-","-","-","R","AZ","AZ-06",6,0
"14","Pastor","Ed","+",NA,NA,NA,NA,NA,"D","AZ","AZ-07",1,0
"15","Franks","Trent","-","-","-",NA,NA,NA,"R","AZ","AZ-08",3,0
"16","Sinema","Kyrsten","+","+","+",NA,NA,NA,"I","AZ","AZ-09",3,0
"17","Crawford","Rick","-","-","-","-","-","-","R","AR","AR-01",6,0
"18","Griffin","Tim","-",NA,NA,NA,NA,NA,"R","AR","AR-02",1,0
"19","Womack","Steve","-","-","-","-","-","-","R","AR","AR-03",6,0
"20","Cotton","Tom","-",NA,NA,NA,NA,NA,"R","AR","AR-04",1,0
"21","LaMalfa","Doug","-","-","-","-","-","-","R","CA","CA-01",6,0
"22","Huffman","Jared","+","+","+","+","+","+","D","CA","CA-02",6,0
"23","Garamendi","John","+","+","+","+","+","+","D","CA","CA-03",6,0
"24","McClintock","Tom","-","-","-","-","-","-","R","CA","CA-04",6,0
"25","Thompson","Mike","+","+","+","+","+","+","D","CA","CA-05",6,0
"26","Matsui","Doris O.","+","+","+","+","+","+","D","CA","CA-06",6,0
"27","Bera","Ami","+","+","+","+","+","+","D","CA","CA-07",6,0
"28","Cook","Paul","-","-","-","-","-",NA,"R","CA","CA-08",5,0
"29","McNerney","Jerry","+","+","+","+","+","+","D","CA","CA-09",6,0
"30","Denham","Jeff","-","-","-","-",NA,NA,"R","CA","CA-10",4,0
"31","Miller","George","+",NA,NA,NA,NA,NA,"D","CA","CA-11",1,0
"32","Pelosi","Nancy","+","+","+","+",NA,NA,"D","CA","CA-12",4,0
"33","Lee","Barbara J.","+","+","+","+","+","+","D","CA","CA-13",6,0
"34","Speier","Jackie","+","+","+",NA,"+","+","D","CA","CA-14",5,0
"35","Swalwell","Eric","+","+","+","+",NA,"+","D","CA","CA-15",5,0
"36","Costa","Jim","-","+",NA,"+","-","+","D","CA","CA-16",5,3
"37","Honda","Mike","+","+",NA,NA,NA,NA,"D","CA","CA-17",2,0
"38","Eshoo","Anna G.","+",NA,"+","+","+","+","D","CA","CA-18",5,0
"39","Lofgren","Zoe","+","+","+","+","+","+","D","CA","CA-19",6,0
"40","Farr","Sam","+","+",NA,NA,NA,NA,"D","CA","CA-20",2,0
"41","Valadao","David G.","-","-","-","-",NA,"-","R","CA","CA-21",5,0
"42","Nunes","Devin G.","-","-","-","-","-","-","R","CA","CA-22",6,0
"43","McCarthy","Kevin","-","-","-","-","-","-","R","CA","CA-23",6,0
"44","Capps","Lois","+","+",NA,NA,NA,NA,"D","CA","CA-24",2,0
"45","McKeon","Buck P.","-",NA,NA,NA,NA,NA,"R","CA","CA-25",1,0
"46","Brownley","Julia","+","+","+","+","+","+","D","CA","CA-26",6,0
"47","Chu","Judy M.","+","+","+","+","+","+","D","CA","CA-27",6,0
"48","Schiff","Adam B.","+","+","+","+","+","+","D","CA","CA-28",6,0
"49","Cárdenas","Tony","+","+","+",NA,"+","+","D","CA","CA-29",5,0
"50","Sherman","Brad J.","+","+","+","+","+","+","D","CA","CA-30",6,0
"51","Miller","Gary G.","-",NA,NA,NA,NA,NA,"R","CA","CA-31",1,0
"52","Napolitano","Grace","+","+","+","+","+","+","D","CA","CA-32",6,0
