"last_name","first_name","state","opensecrets_id","bioguide_id","district","Industry_Type","total"
"Adams","Alma","NC","N00035451","A000370",12,"-",0
"Adams","Alma","NC","N00035451","A000370",12,"+",0
"Aderholt","Robert","AL","N00003028","A000055",4,"-",17896
"Aderholt","Robert","AL","N00003028","A000055",4,"+",0
"Alexander","Rodney","LA","N00025464","A000361",5,"-",24750
"Alexander","Rodney","LA","N00025464","A000361",5,"+",0
"Amash","Justin","MI","N00031938","A000367",3,"-",2500
"Amash","Justin","MI","N00031938","A000367",3,"+",0
"Amodei","Mark","NV","N00031177","A000369",2,"-",13000
"Amodei","Mark","NV","N00031177","A000369",2,"+",0
"Andrews","Robert","NJ","N00000826","A000210",1,"-",7500
"Andrews","Robert","NJ","N00000826","A000210",1,"+",0
"Bachmann","Michele","MN","N00027493","B001256",6,"-",8400
"Bachmann","Michele","MN","N00027493","B001256",6,"+",0
"Bachus","Spencer","AL","N00008091","B000013",6,"-",1000
"Bachus","Spencer","AL","N00008091","B000013",6,"+",0
"Barber","Ron","AZ","N00033981","B001279",2,"-",7000
"Barber","Ron","AZ","N00033981","B001279",2,"+",500
"Barletta","Lou","PA","N00025495","B001269",11,"-",13050
"Barletta","Lou","PA","N00025495","B001269",11,"+",0
"Barr","Garland","KY","N00031233","B001282",6,"-",107750
"Barr","Garland","KY","N00031233","B001282",6,"+",0
"Barrow","John","GA","N00026080","B001252",12,"-",80550
"Barrow","John","GA","N00026080","B001252",12,"+",0
"Barton","Joe","TX","N00005656","B000213",6,"-",84500
"Barton","Joe","TX","N00005656","B000213",6,"+",0
"Bass","Karen","CA","N00031877","B001270",37,"-",4750
"Bass","Karen","CA","N00031877","B001270",37,"+",0
"Beatty","Joyce","OH","N00033904","B001281",3,"-",10100
"Beatty","Joyce","OH","N00033904","B001281",3,"+",0
"Becerra","Xavier","CA","N00009774","B000287",34,"-",7000
"Becerra","Xavier","CA","N00009774","B000287",34,"+",1000
"Benishek","Dan","MI","N00031934","B001271",1,"-",64700
"Benishek","Dan","MI","N00031934","B001271",1,"+",0
"Bentivolio","Kerry","MI","N00033625","B001280",11,"-",12000
"Bentivolio","Kerry","MI","N00033625","B001280",11,"+",0
"Bera","Ami","CA","N00030717","B001287",6,"-",2750
"Bera","Ami","CA","N00030717","B001287",6,"+",250
"Bilirakis","Gus","FL","N00027462","B001257",12,"-",8500
"Bilirakis","Gus","FL","N00027462","B001257",12,"+",0
"Bishop","Rob","UT","N00025292","B001250",1,"-",23300
"Bishop","Rob","UT","N00025292","B001250",1,"+",250
"Bishop","Sanford","GA","N00002674","B000490",2,"-",20000
"Bishop","Sanford","GA","N00002674","B000490",2,"+",0
"Bishop","Timothy","NY","N00025413","B001242",1,"-",11398
"Bishop","Timothy","NY","N00025413","B001242",1,"+",5200
"Black","Diane","TN","N00031539","B001273",6,"-",27625
"Black","Diane","TN","N00031539","B001273",6,"+",0
"Blumenauer","Earl","OR","N00007727","B000574",3,"-",5750
"Blumenauer","Earl","OR","N00007727","B000574",3,"+",7750
"Boehner","John","OH","N00003675","B000589",8,"-",901502
"Boehner","John","OH","N00003675","B000589",8,"+",7650
"Bonamici","Suzanne","OR","N00033474","B001278",1,"-",1500
"Bonamici","Suzanne","OR","N00033474","B001278",1,"+",0
"Bonner","Jo","AL","N00025330","B001244",1,"-",0
"Bonner","Jo","AL","N00025330","B001244",1,"+",0
"Boustany","Charles","LA","N00026595","B001255",3,"-",65700
"Boustany","Charles","LA","N00026595","B001255",3,"+",0
"Brady","Kevin","TX","N00005883","B000755",8,"-",110050
"Brady","Kevin","TX","N00005883","B000755",8,"+",1000
"Brady","Robert","PA","N00001619","B001227",1,"-",0
"Brady","Robert","PA","N00001619","B001227",1,"+",0
"Braley","Bruce","IA","N00027464","B001259",1,"-",1500
"Braley","Bruce","IA","N00027464","B001259",1,"+",12400
"Brat","David","VA","N00036013","B001290",7,"-",0
"Brat","David","VA","N00036013","B001290",7,"+",0
"Bridenstine","Jim","OK","N00033532","B001283",1,"-",10750
"Bridenstine","Jim","OK","N00033532","B001283",1,"+",0
"Brooks","Mo","AL","N00030910","B001274",5,"-",8500
"Brooks","Mo","AL","N00030910","B001274",5,"+",0
"Brooks","Susan","IN","N00033495","B001284",5,"-",4000
"Brooks","Susan","IN","N00033495","B001284",5,"+",0
"Broun","Paul","GA","N00028986","B001262",10,"-",47050
"Broun","Paul","GA","N00028986","B001262",10,"+",0
"Brown","Corrine","FL","N00002713","B000911",5,"-",0
"Brown","Corrine","FL","N00002713","B000911",5,"+",0
"Brownley","Julia","CA","N00034254","B001285",26,"-",4100
"Brownley","Julia","CA","N00034254","B001285",26,"+",250
"Buchanan","Vern","FL","N00027626","B001260",16,"-",6000
"Buchanan","Vern","FL","N00027626","B001260",16,"+",0
"Bucshon","Larry","IN","N00031227","B001275",8,"-",28350
"Bucshon","Larry","IN","N00031227","B001275",8,"+",0
