"corresponding_vote","last_name","first_name","state","opensecrets_id","bioguide_id","district","Industry_Type","total"
"3","Aderholt","Robert","AL","N00003028","A000055",4,"-",17896
"3","Aderholt","Robert","AL","N00003028","A000055",4,"+",0
"3","Alexander","Rodney","LA","N00025464","A000361",5,"-",24750
"3","Alexander","Rodney","LA","N00025464","A000361",5,"+",0
"3","Amash","Justin","MI","N00031938","A000367",3,"-",2500
"3","Amash","Justin","MI","N00031938","A000367",3,"+",0
"3","Amodei","Mark","NV","N00031177","A000369",2,"-",13000
"3","Amodei","Mark","NV","N00031177","A000369",2,"+",0
"3","Andrews","Robert","NJ","N00000826","A000210",1,"-",7500
"3","Andrews","Robert","NJ","N00000826","A000210",1,"+",0
"3","Bachmann","Michele","MN","N00027493","B001256",6,"-",8400
"3","Bachmann","Michele","MN","N00027493","B001256",6,"+",0
"3","Bachus","Spencer","AL","N00008091","B000013",6,"-",1000
"3","Bachus","Spencer","AL","N00008091","B000013",6,"+",0
"3","Barber","Ron","AZ","N00033981","B001279",2,"-",7000
"3","Barber","Ron","AZ","N00033981","B001279",2,"+",500
"3","Barletta","Lou","PA","N00025495","B001269",11,"-",13050
"3","Barletta","Lou","PA","N00025495","B001269",11,"+",0
"3","Barr","Garland","KY","N00031233","B001282",6,"-",107750
"3","Barr","Garland","KY","N00031233","B001282",6,"+",0
"3","Barrow","John","GA","N00026080","B001252",12,"-",80550
"3","Barrow","John","GA","N00026080","B001252",12,"+",0
"3","Barton","Joe","TX","N00005656","B000213",6,"-",84500
"3","Barton","Joe","TX","N00005656","B000213",6,"+",0
"3","Bass","Karen","CA","N00031877","B001270",37,"-",4750
"3","Bass","Karen","CA","N00031877","B001270",37,"+",0
"3","Beatty","Joyce","OH","N00033904","B001281",3,"-",10100
"3","Beatty","Joyce","OH","N00033904","B001281",3,"+",0
"3","Becerra","Xavier","CA","N00009774","B000287",34,"-",7000
"3","Becerra","Xavier","CA","N00009774","B000287",34,"+",1000
"3","Benishek","Dan","MI","N00031934","B001271",1,"-",64700
