party,state,amount.oil.113,amount.coal.113,amount.mining.113,amount.gas.113,amount.env.113,amount.alt_en.113,member.x,alias.x,name,amount.oil.114,amount.coal.114,amount.mining.114,amount.gas.114,amount.env.114,amount.alt_en.114,member.y,alias.y,amount.oil.115,amount.coal.115,amount.mining.115,amount.gas.115,amount.env.115,amount.alt_en.115,member.x.x,alias.x.x,amount.oil.116,amount.coal.116,amount.mining.116,amount.gas.116,amount.env.116,amount.alt_en.116,member.y.y,alias.y.y,first_name,last_name,member_id,amount.oil.117,amount.coal.117,amount.mining.117,amount.gas.117,amount.env.117,amount.alt_en.117,member,alias,rest_of_name
R,OH,510400,270817,421017,49300,1000,7500,NA,NA,john boehner,758255,342798,593348,72800,2600,6350,NA,NA,171900,16900,23150,9850,13200,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John,Boehner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,362933,0,2900,4650,0,0,NA,NA,roger williams,209500,0,7200,7500,0,0,NA,NA,136250,0,0,0,0,0,NA,NA,95450,0,0,5400,0,0,NA,NA,Roger,Williams,NA,154646,0,0,10899,0,10,NA,NA,NA
R,KS,320550,3000,8000,14500,0,7500,NA,NA,mike pompeo,376850,10500,14000,31500,0,11400,NA,NA,194325,1000,2000,25500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mike,Pompeo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,LA,313700,0,3500,78450,0,3500,NA,NA,charles jr boustany,236350,0,0,38250,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Charles Jr,Boustany,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,CA,288200,2000,9500,7000,0,24900,NA,NA,kevin mccarthy,362000,1500,8000,58300,0,2000,NA,NA,355050,15700,30700,24800,1000,20800,NA,NA,484650,68600,184500,69300,5250,54150,NA,NA,Kevin,McCarthy,NA,556734,56301,66420,80987,11250,3824,NA,NA,NA
R,LA,278416,0,1000,2750,0,0,NA,NA,jeff landry,-1500,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13500,0,0,2500,0,0,NA,NA,Jeff,Landry,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,VA,272650,83894,163694,16000,0,5300,NA,NA,eric cantor,162015,19003,29996,21375,0,0,NA,NA,-7264,-900,-1650,-375,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eric,Cantor,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,NM,264225,3500,31000,8000,0,1000,NA,NA,steve pearce,342820,1000,27812,8600,0,0,NA,NA,271906,1000,25400,10000,0,0,NA,NA,2500,0,0,0,0,0,NA,NA,Steve,Pearce,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MI,245500,14000,35000,61800,0,28500,NA,NA,dave camp,96499,9000,15500,23499,0,3500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dave,Camp,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,233156,0,4333,21000,2500,0,NA,NA,bill flores,213789,1000,7000,23500,2000,10400,NA,NA,223400,500,3500,17500,1000,0,NA,NA,188600,0,2500,22500,0,0,NA,NA,Bill,Flores,NA,55100,0,0,6000,0,250,NA,NA,NA
R,CO,224500,17000,35000,27750,0,6000,NA,NA,cory gardner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cory,Gardner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MI,224300,44633,103208,50500,0,9500,NA,NA,fred upton,245800,24500,34000,55700,0,4500,NA,NA,229000,4000,8000,52600,0,6000,NA,NA,151250,2500,7500,49300,0,0,NA,NA,Fred,Upton,NA,103188,67,144,29470,0,2026,NA,NA,NA
R,LA,220500,0,0,2500,13200,0,NA,NA,john fleming,188000,0,11100,7000,16400,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John,Fleming,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,219126,1000,2583,4000,2500,250,NA,NA,quico canseco,34350,0,5200,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,500,0,0,0,0,0,NA,NA,Quico,Canseco,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,ND,218800,12500,17500,16000,0,11750,NA,NA,kevin cramer,272250,19400,24400,16500,0,2000,NA,NA,216200,26000,30000,23500,0,15000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Kevin,Cramer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,CO,210275,12750,42031,9750,1000,450,NA,NA,mike coffman,372000,21200,44950,10750,2250,500,NA,NA,193244,15900,36250,4450,500,1000,NA,NA,222403,1000,18000,15500,600,4000,NA,NA,Mike,Coffman,NA,5400,0,0,0,0,0,NA,NA,NA
R,OK,192950,14500,18500,57000,0,0,NA,NA,john sullivan,-5000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John,Sullivan,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,186300,0,2000,4250,0,2500,NA,NA,mike conaway,263450,0,0,5000,0,5100,NA,NA,146547,3500,3500,250,0,1500,NA,NA,150500,0,0,1000,4750,1793,NA,NA,Mike,Conaway,NA,33600,0,0,0,0,0,NA,NA,NA
R,OK,182600,0,4500,12250,0,600,NA,NA,james lankford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,James,Lankford,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,180450,1000,1500,32750,1000,0,NA,NA,pete olson,248000,1000,3600,35500,0,0,NA,NA,221200,1000,2000,49800,0,7700,NA,NA,206328,0,6000,44500,0,0,NA,NA,Pete,Olson,NA,49373,0,0,12099,0,1000,NA,NA,NA
R,CO,180124,15450,41975,7750,1000,0,NA,NA,scott tipton,130739,16750,44300,6000,2000,1000,NA,NA,139100,22400,53400,6500,0,0,NA,NA,106350,8500,33149,11300,0,0,NA,NA,Scott,Tipton,NA,57546,25,5631,7635,0,30,NA,NA,NA
R,TX,176165,0,0,39665,0,0,NA,NA,kevin brady,321650,3000,3000,49950,0,1000,NA,NA,415650,0,0,82500,0,14700,NA,NA,377134,1000,1000,53450,0,19750,NA,NA,Kevin,Brady,NA,305000,0,2000,40900,0,1000,NA,NA,NA
R,TX,172900,7000,17500,29400,0,0,NA,NA,joe barton,142100,5500,10500,9500,0,0,NA,NA,234282,4500,6500,18450,0,0,NA,NA,64850,0,0,1000,0,1000,NA,NA,Joe,Barton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,171150,0,6500,12250,0,0,NA,NA,jeb hensarling,95800,0,10400,15200,0,0,NA,NA,70000,0,0,8900,0,0,NA,NA,10200,0,0,0,0,0,NA,NA,Jeb,Hensarling,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,FL,170325,6500,15700,4500,0,1300,NA,NA,allen west,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Allen,West,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,147800,2500,10000,16000,0,0,NA,NA,pete sessions,159450,1000,3000,16300,0,0,NA,NA,139550,0,1000,27600,0,0,NA,NA,267675,0,1000,33900,0,0,NA,NA,Pete,Sessions,NA,25950,0,0,500,0,0,NA,NA,NA
R,TX,147550,0,0,17300,0,0,NA,NA,michael williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michael,Williams,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,WA,144549,36553,114878,13000,9500,5250,NA,NA,doc hastings,55750,3800,12300,4500,2500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Doc,Hastings,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,PA,138500,52608,114333,49300,0,0,NA,NA,tim murphy,111000,38600,47900,43500,0,0,NA,NA,51750,27200,34950,21500,0,0,NA,NA,1000,0,0,0,0,0,NA,NA,Tim,Murphy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,LA,135575,0,4000,12500,4000,0,NA,NA,steve scalise,217274,9500,16500,21100,7200,0,NA,NA,285300,6400,13900,26750,0,0,NA,NA,383665,0,13225,22700,0,1435,NA,NA,Steve,Scalise,NA,528542,1910,6306,47245,2960,14111,NA,NA,NA
R,KY,131250,75375,127900,16500,0,7500,NA,NA,ed whitfield,136500,31000,37000,23500,0,13000,NA,NA,55100,9500,16000,0,0,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ed,Whitfield,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,KS,128150,5000,16250,5500,0,1500,NA,NA,lynn jenkins,147950,5200,16600,36500,0,3600,NA,NA,88700,0,13300,11000,0,6750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Lynn,Jenkins,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MT,126675,14800,22800,750,0,0,NA,NA,steven daines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Steven,Daines,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,LA,123350,0,2000,10500,7800,0,NA,NA,bill cassidy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bill,Cassidy,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OK,121700,0,1250,12000,0,4500,NA,NA,tom cole,123200,1000,2000,13000,0,2000,NA,NA,125750,17200,19200,13700,0,5000,NA,NA,119250,0,1000,35400,0,7493,NA,NA,Tom,Cole,NA,136100,5600,6600,31500,5600,6000,NA,NA,NA
R,IL,121300,44459,86059,12500,0,16250,NA,NA,john shimkus,112300,16000,25000,18000,0,23250,NA,NA,180582,29200,40700,46000,0,37700,NA,NA,148250,14000,29000,30000,0,24400,NA,NA,John,Shimkus,NA,49000,8500,8500,4500,0,0,NA,NA,NA
R,NY,120021,0,2000,37150,0,1000,NA,NA,tom reed,211200,1000,2555,39950,0,10250,NA,NA,121050,0,0,31900,0,35500,NA,NA,122475,0,500,21400,0,40225,NA,NA,Tom,Reed,NA,115762,0,600,26899,5514,10600,NA,NA,NA
R,WY,119900,32800,52650,12500,0,0,NA,NA,cynthia lummis,91050,22500,29750,9000,0,0,NA,NA,18700,13500,20500,1000,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Cynthia,Lummis,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MI,118550,3000,33000,1500,1500,1500,NA,NA,dan benishek,113950,3000,18599,1500,2000,0,NA,NA,20525,2000,4000,0,1000,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dan,Benishek,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,AR,114025,0,4100,500,0,2500,NA,NA,tom cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tom,Cotton,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,113452,0,2833,13500,0,0,NA,NA,blake farenthold,109325,0,1000,13000,6600,0,NA,NA,77950,0,500,13500,0,0,NA,NA,31600,0,0,4500,0,0,NA,NA,Blake,Farenthold,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,MN,113323,1250,8500,5000,0,5450,NA,NA,michele bachmann,11900,0,2500,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Michele,Bachmann,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OK,113000,15500,18000,1000,0,0,NA,NA,markwayne mullin,148950,2500,6000,14600,0,0,NA,NA,227850,10000,11000,36800,0,0,NA,NA,183350,2700,4700,36000,0,1500,NA,NA,Markwayne,Mullin,NA,164215,10900,11900,26625,0,3000,NA,NA,NA
R,WV,112600,229078,325278,14000,0,0,NA,NA,david mckinley,84450,116850,193150,20250,0,0,NA,NA,80000,37700,70150,17000,0,0,NA,NA,85175,23000,30500,15000,0,0,NA,NA,David,McKinley,NA,84750,26550,37288,5750,0,0,NA,NA,NA
D,UT,112150,10000,22000,31400,0,0,NA,NA,jim matheson,41500,7000,10000,7500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Jim,Matheson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,GA,107400,8500,17000,22900,1000,0,NA,NA,john barrow,132650,6000,14500,20000,1500,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,John,Barrow,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OH,104700,70225,130250,20000,0,0,NA,NA,bill johnson,213266,78856,141519,35100,1000,3500,NA,NA,127950,25800,38800,40000,1000,12500,NA,NA,124050,53140,90870,25200,0,2500,NA,NA,Bill,Johnson,NA,111597,18850,38350,27000,0,1029,NA,NA,NA
R,TX,104350,0,1000,10000,0,0,NA,NA,john culberson,92150,0,0,6000,0,0,NA,NA,133625,0,0,22825,0,0,NA,NA,313827,5000,7000,40599,5400,250,NA,NA,John,Culberson,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,TX,99125,0,3000,7500,0,0,NA,NA,henry cuellar,135758,0,8000,16000,0,0,NA,NA,162952,1000,4800,22500,0,0,NA,NA,173919,1500,8000,17000,0,500,NA,NA,Henry,Cuellar,NA,228210,1250,11750,32500,0,0,NA,NA,NA
R,CA,98200,9000,24450,0,1450,2500,NA,NA,dan lungren,-2000,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Dan,Lungren,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,TX,97250,0,2500,4000,0,0,NA,NA,randy neugebauer,94900,0,2600,1000,0,2500,NA,NA,2700,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Randy,Neugebauer,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
D,TX,96700,0,0,17200,0,0,NA,NA,gene green,102350,1000,1000,23100,0,0,NA,NA,107700,0,0,41500,0,0,NA,NA,24000,0,0,11000,0,0,NA,NA,Gene,Green,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,CA,96600,0,11500,8000,0,1500,NA,NA,jeff denham,71798,2500,10700,13000,0,0,NA,NA,189499,1000,6200,42999,0,2500,NA,NA,266341,6000,8500,60552,0,2500,NA,NA,Jeff,Denham,NA,-3500,0,0,-3500,0,0,NA,NA,NA
R,TN,96500,2000,5000,16500,0,0,NA,NA,marsha blackburn,101600,1000,4000,13500,0,0,NA,NA,85900,500,500,13500,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Marsha,Blackburn,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,PA,96400,23250,38150,40000,0,0,NA,NA,bill shuster,205048,52315,105090,62100,0,1000,NA,NA,198512,25300,39350,64500,0,0,NA,NA,91112,5000,6250,42400,0,1000,NA,NA,Bill,Shuster,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
R,OH,95050,37700,77500,25500,1000,0,NA,NA,bob gibbs,69800,14600,18100,20100,0,0,NA,NA,34000,2000,8000,2000,1000,3500,NA,NA,36250,14500,20500,6500,500,1000,NA,NA,Bob,Gibbs,NA,23758,0,3000,6000,0,4,NA,NA,NA
