"","LastName","FirstName","Amount.oil.116","Amount.coal.116","Amount.mining.116","Amount.gas.116","Amount.env.116","Amount.alt_en.116","Party","StateAbbreviation"
"1","McCarthy","Kevin",484650,68600,184500,69300,5250,54150,"R","CA"
"2","Hurd","Will",461594,8200,8450,51950,0,3400,"R","TX"
"3","Ryan","Paul",386943,14700,24515,66050,100,10600,"R","WI"
"4","Scalise","Steve",383665,0,13225,22700,0,1435,"R","LA"
"5","Brady","Kevin",377134,1000,1000,53450,0,19750,"R","TX"
"6","Culberson","John",313827,5000,7000,40599,5400,250,"R","TX"
"7","Walden","Greg",290750,14000,37000,29800,0,8400,"R","OR"
"8","Sessions","Pete",267675,0,1000,33900,0,0,"R","TX"
"9","Denham","Jeff",266341,6000,8500,60552,0,2500,"R","CA"
"10","Armstrong","Kelly",240501,22100,35150,18500,0,10500,"R","ND"
"11","Coffman","Mike",222403,1000,18000,15500,600,4000,"R","CO"
"12","Gianforte","Greg",219640,28225,32225,3500,0,350,"R","MT"
"13","Olson","Pete",206328,0,6000,44500,0,0,"R","TX"
"14","Graves","Garret",193801,2000,8500,64301,3700,2000,"R","LA"
"15","Flores","Bill",188600,0,2500,22500,0,0,"R","TX"
"16","Mullin","Markwayne",183350,2700,4700,36000,0,1500,"R","OK"
"17","Cuellar","Henry",173919,1500,8000,17000,0,500,"D","TX"
"18","Upton","Fred",151250,2500,7500,49300,0,0,"R","MI"
"19","Conaway","Mike",150500,0,0,1000,4750,1793,"R","TX"
"20","Shimkus","John",148250,14000,29000,30000,0,24400,"R","IL"
"21","Paulsen","Erik",146470,5000,5000,13752,0,1000,"R","MN"
"22","Crenshaw","Dan",134058,1000,7400,6900,155,2700,"R","TX"
"23","Herrell","Yvette",133100,0,5550,2500,0,0,"R","NM"
"24","Walters","Mimi",132550,5000,10100,23900,0,2000,"R","CA"
"25","Estes","Ron",131675,0,0,4000,0,41700,"R","KS"
"26","Roskam","Peter",131500,5200,12700,9000,0,1500,"R","IL"
"27","Rodgers","Cathy McMorris",129550,0,50704,10000,0,5820,"R","WA"
"28","Balderson","Troy",127598,10200,12200,5500,0,2700,"R","OH"
"29","McCaul","Michael",126700,0,0,12200,0,1250,"R","TX"
"30","Roy","Chip",125700,0,4700,12400,500,0,"R","TX"
"31","Nunes","Devin",124552,2700,5300,5250,0,1500,"R","CA"
"32","Johnson","Bill",124050,53140,90870,25200,0,2500,"R","OH"
"33","Bishop","Mike",122654,5000,5400,12052,0,0,"R","MI"
"34","Katko","John",122590,0,0,18552,0,0,"R","NY"
"35","Reed","Tom",122475,0,500,21400,0,40225,"R","NY"
"36","Tenney","Claudia",122290,5000,5100,9052,0,0,"R","NY"
"37","Taylor","Van",121769,0,3700,0,0,0,"R","TX"
"38","Bishop","Rob",121188,16750,31750,7250,5700,0,"R","UT"
"39","Hern","Kevin",119761,6500,6500,7000,0,0,"R","OK"
"40","Cole","Tom",119250,0,1000,35400,0,7493,"R","OK"
"41","Barr","Andy",113547,74650,153625,20452,0,0,"R","KY"
"42","Curbelo","Carlos",112361,2700,2700,15800,17792,7000,"R","FL"
"43","Handel","Karen",107000,5660,15310,8250,17785,100,"R","GA"
"44","Tipton","Scott",106350,8500,33149,11300,0,0,"R","CO"
"45","Valadao","David",103599,5000,6650,8052,0,1250,"R","CA"
"46","Mast","Brian",102569,5101,5101,12299,0,160,"R","FL"
"47","Costa","Jim",98505,3500,12000,15000,3000,1000,"D","CA"
"48","Bruun","Bech",96750,0,0,6000,0,0,"R","TX"
"49","Stivers","Steve",96500,21000,70475,13000,0,2000,"R","OH"
"50","Williams","Roger",95450,0,0,5400,0,0,"R","TX"
"51","Yoder","Kevin",95350,16900,27700,6000,0,51400,"R","KS"
"52","Weber","Randy",94550,0,8100,15850,0,0,"R","TX"
"53","Latta","Bob",93825,2700,5700,6000,0,3500,"R","OH"
"54","Cheney","Liz",93700,16000,24500,3000,0,0,"R","WY"
"55","Newman","Monty",93598,0,7400,0,0,0,"R","NM"
"56","Fletcher","Lizzie",93042,0,505,16066,10351,9192,"D","TX"
"57","Faso","John",92317,0,0,19652,1100,11449,"R","NY"
"58","Comstock","Barbara",91753,6400,11400,29800,0,0,"R","VA"
"59","Shuster","Bill",91112,5000,6250,42400,0,1000,"R","PA"
"60","Lewis","Jason",89775,5000,7000,10552,0,2700,"R","MN"
"61","Russell","Steven",85750,0,0,11000,0,0,"R","OK"
"62","Hudson","Richard",85700,0,7000,5500,0,1000,"R","NC"
"63","Stewart","Chris",85650,4200,7200,0,0,0,"R","UT"
"64","McKinley","David",85175,23000,30500,15000,0,0,"R","WV"
"65","Kelly","Mike",85100,27500,34550,24000,0,1500,"R","PA"
"66","Knight","Steve",82761,5000,5250,5352,0,1000,"R","CA"
"67","Poliquin","Bruce",81920,5000,5000,6700,0,3793,"R","ME"
"68","Babin","Brian",81357,0,5400,11400,0,0,"R","TX"
"69","Rothfus","Keith J",81311,54600,127425,21400,0,0,"R","PA"
"70","Thompson","Glenn",80100,9216,14916,15000,0,0,"R","PA"
"71","Bacon","Donald John",79640,0,2000,18402,0,25000,"R","NE"
"72","Richmond","Cedric",79200,0,0,15000,1000,0,"D","LA"
"73","McHenry","Patrick",79000,0,0,10000,0,20200,"R","NC"
"74","Taylor","Scott",78867,12900,15100,4954,300,0,"R","VA"
"75","Johnson","Mike",78350,0,7400,19400,0,0,"R","LA"
"76","Schrader","Kurt",75250,1000,3500,14250,500,1000,"D","OR"
"77","Davis","Rodney",73500,12600,16600,14500,0,31500,"R","IL"
"78","Westerman","Bruce",73400,1000,4000,2000,0,250,"R","AR"
"79","Duncan","Jeff",73350,0,1000,5500,0,2000,"R","SC"
"80","Holding","George",72950,0,0,2000,0,22800,"R","NC"
"81","Blum","Rod",72576,5000,5000,8052,0,18500,"R","IA"
"82","Marchant","Kenny",71650,1000,2000,16000,0,0,"R","TX"
"83","Granger","Kay",70900,0,0,2500,0,1000,"R","TX"
"84","Arrington","Jodey",70750,0,0,1500,0,24200,"R","TX"
"85","Smucker","Lloyd",70071,5000,11400,13052,0,1000,"R","PA"
"86","Fitzpatrick","Brian",69408,0,0,12052,8000,750,"R","PA"
"87","Walberg","Tim",69400,1000,17500,4500,0,0,"R","MI"
"88","Higgins","Clay",69150,0,0,18650,0,0,"R","LA"
"89","Carter","Buddy",68400,0,6000,6000,2500,2250,"R","GA"
"90","Pence","Greg",68150,38700,90806,0,0,20800,"R","IN"
"91","Gooden","Lance",66450,0,0,7700,0,0,"R","TX"
