"BioID","GovtrackID","last_name","first_name","Vote3","Vote4","Vote51","Vote52","Vote6","Vote7","party","name","state","district","Vote_count","Vote_change"
NA,NA,"Roby","Martha","-","-","-","-","-",NA,"R","roby martha","AL","2",5,0
"R000575",400341,"Rogers","Mike D.","-","-","-","-","-","-","R","rogers mike d,rogers mike","AL","3",6,0
"A000055",400004,"Aderholt","Robert B.","-","-","-","-","-","-","R","aderholt robert b,aderholt robert","AL","4",6,0
"B001274",412395,"Brooks","Mo","-","-","-","-","-","-","R","brooks mo","AL","5",6,0
NA,NA,"Bachus","Spencer","-",NA,NA,NA,NA,NA,"R",NA,"AL","6",1,0
"S001185",412396,"Sewell","Terri","+","+","+","+","+","+","D","sewell terri","AL","7",6,0
"Y000033",400440,"Young","Don","-","-","-","-","-","-","R","young don","AK","0",6,0
"K000368",412286,"Kirkpatrick","Ann","+","+",NA,NA,NA,"+","D","kirkpatrick ann","AZ","1",3,0
NA,NA,"Barber","Ron","+",NA,NA,NA,NA,NA,"D",NA,"AZ","2",1,0
"G000551",400162,"Grijalva","Raul","+","+","+","+","+","+","D","grijalva raul","AZ","3",6,0
"G000565",412397,"Gosar","Paul","-","-","-","-","-",NA,"R","gosar paul","AZ","4",5,0
NA,NA,"Salmon","Matt","-","-",NA,NA,NA,NA,"R",NA,"AZ","5",2,0
"S001183",412399,"Schweikert","David","-","-","-","-","-","-","R","schweikert david","AZ","6",6,0
NA,NA,"Pastor","Ed","+",NA,NA,NA,NA,NA,"D",NA,"AZ","7",1,0
NA,NA,"Franks","Trent","-","-","-",NA,NA,NA,"R",NA,"AZ","8",3,0
NA,NA,"Sinema","Kyrsten","+","+","+",NA,NA,NA,"I",NA,"AZ","9",3,0
"C001087",412400,"Crawford","Rick","-","-","-","-","-","-","R","crawford rick","AR","1",6,0
NA,NA,"Griffin","Tim","-",NA,NA,NA,NA,NA,"R",NA,"AR","2",1,0
"W000809",412402,"Womack","Steve","-","-","-","-","-","-","R","womack steve","AR","3",6,0
NA,NA,"Cotton","Tom","-",NA,NA,NA,NA,NA,"R",NA,"AR","4",1,0
"L000578",412510,"LaMalfa","Doug","-","-","-","-","-","-","R","lamalfa doug","CA","1",6,0
"H001068",412511,"Huffman","Jared","+","+","+","+","+","+","D","huffman jared","CA","2",6,0
"G000559",412382,"Garamendi","John","+","+","+","+","+","+","D","garamendi john","CA","3",6,0
"M001177",412295,"McClintock","Tom","-","-","-","-","-","-","R","mcclintock tom","CA","4",6,0
"T000460",400403,"Thompson","Mike","+","+","+","+","+","+","D","thompson mike","CA","5",6,0
"M001163",400663,"Matsui","Doris O.","+","+","+","+","+","+","D","matsui doris o,matsui doris","CA","6",6,0
"B001287",412512,"Bera","Ami","+","+","+","+","+","+","D","bera ami","CA","7",6,0
NA,NA,"Cook","Paul","-","-","-","-","-",NA,"R","cook paul","CA","8",5,0
"M001166",412189,"McNerney","Jerry","+","+","+","+","+","+","D","mcnerney jerry","CA","9",6,0
NA,NA,"Denham","Jeff","-","-","-","-",NA,NA,"R",NA,"CA","10",4,0
NA,NA,"Miller","George","+",NA,NA,NA,NA,NA,"D",NA,"CA","11",1,0
"P000197",400314,"Pelosi","Nancy","+","+","+","+",NA,NA,"D","pelosi nancy","CA","12",4,0
"L000551",400237,"Lee","Barbara J.","+","+","+","+","+","+","D","lee barbara j,lee barbara","CA","13",6,0
"S001175",412259,"Speier","Jackie","+","+","+",NA,"+","+","D","speier jackie","CA","14",5,0
"S001193",412514,"Swalwell","Eric","+","+","+","+",NA,"+","D","swalwell eric","CA","15",5,0
"C001059",400618,"Costa","Jim","-","+",NA,"+","-","+","D","costa jim","CA","16",5,3
NA,NA,"Honda","Mike","+","+",NA,NA,NA,NA,"D",NA,"CA","17",2,0
"E000215",400124,"Eshoo","Anna G.","+",NA,"+","+","+","+","D","eshoo anna g,eshoo anna","CA","18",5,0
"L000397",400245,"Lofgren","Zoe","+","+","+","+","+","+","D","lofgren zoe","CA","19",6,0
NA,NA,"Farr","Sam","+","+",NA,NA,NA,NA,"D",NA,"CA","20",2,0
NA,NA,"Valadao","David G.","-","-","-","-",NA,NA,"R",NA,"CA","21",4,0
"N000181",400297,"Nunes","Devin G.","-","-","-","-","-","-","R","nunes devin g,nunes devin","CA","22",6,0
"M001165",412190,"McCarthy","Kevin","-","-","-","-","-","-","R","mccarthy kevin","CA","23",6,0
NA,NA,"Capps","Lois","+","+",NA,NA,NA,NA,"D",NA,"CA","24",2,0
NA,NA,"McKeon","Buck P.","-",NA,NA,NA,NA,NA,"R",NA,"CA","25",1,0
"B001285",412516,"Brownley","Julia","+","+","+","+","+","+","D","brownley julia","CA","26",6,0
"C001080",412379,"Chu","Judy M.","+","+","+","+","+","+","D","chu judy m,chu judy","CA","27",6,0
"S001150",400361,"Schiff","Adam B.","+","+","+","+","+","+","D","schiff adam b,schiff adam","CA","28",6,0
"C001097",412517,"Cárdenas","Tony","+","+","+",NA,"+","+","D","c rdenas tony","CA","29",5,0
"S000344",400371,"Sherman","Brad J.","+","+","+","+","+","+","D","sherman brad j,sherman brad","CA","30",6,0
NA,NA,"Miller","Gary G.","-",NA,NA,NA,NA,NA,"R",NA,"CA","31",1,0
"N000179",400290,"Napolitano","Grace","+","+","+","+","+","+","D","napolitano grace","CA","32",6,0
NA,NA,"Waxman","Henry A.","+",NA,NA,NA,NA,NA,"D",NA,"CA","33",1,0
NA,NA,"Becerra","Xavier","+","+",NA,NA,NA,NA,"D",NA,"CA","34",2,0
