"Cycle","RecipID","RealCode","Date","Amount","Type"
2018,"N00003280","E3000","07/14/2017",2700,"15 "
2018,"N00040819","E4100","05/15/2017",250,"15 "
2018,"N00003280","E1100","08/30/2017",1000,"15 "
2018,"N00003280","E1150","07/14/2017",2700,"15 "
2018,"N00040819","E4100","09/26/2017",200,"15 "
2018,"N00003280","E1100","09/27/2017",500,"15 "
2018,"N00003280","E1320","08/31/2017",500,"15 "
2018,"N00003280","E1320","08/29/2017",1000,"15J"
2018,"N00003280","E1100","09/30/2017",1000,"15 "
2018,"N00003280","E1150","07/14/2017",2700,"15 "
2018,"N00030780","E0000","08/23/2017",1000,"15 "
2018,"N00030780","E1120","07/31/2017",2700,"15J"
2018,"N00030780","E1000","09/27/2017",500,"15 "
2018,"N00030780","E1620","09/30/2017",2500,"15J"
2018,"N00003280","E1620","09/20/2017",5,"15 "
2018,"N00003280","E1150","09/14/2017",2700,"15 "
2018,"N00003280","E1100","09/27/2017",250,"15 "
2018,"N00003280","E1620","09/20/2017",250,"15 "
2018,"N00003280","E1150","09/14/2017",2700,"15 "
2018,"N00027533","E1500","03/31/2017",1000,"15E"
2018,"N00030780","E0000","08/23/2017",1000,"15 "
2018,"N00030780","E1120","07/31/2017",2700,"15J"
2018,"N00027533","E2000","03/26/2017",500,"15 "
2018,"N00027533","E2000","02/20/2017",500,"15E"
2018,"N00027533","E1620","03/28/2017",250,"15E"
2018,"N00027533","E1160","04/05/2017",1000,"15E"
2018,"N00027533","E2000","06/30/2017",1000,"15 "
2018,"N00027533","E1620","08/06/2017",500,"15 "
2018,"N00027533","E1620","08/06/2017",250,"15 "
2018,"N00027533","E1620","07/17/2017",250,"15 "
2018,"N00004367","E0000","05/31/2017",166,"15J"
2018,"N00027533","E2000","05/30/2017",350,"15 "
2018,"N00027533","E1620","08/06/2017",500,"15 "
2018,"N00027533","E1620","08/06/2017",250,"15 "
2018,"N00027533","E1500","09/08/2017",700,"15E"
2018,"N00027533","E1620","08/06/2017",500,"15 "
2018,"N00027533","E1620","08/06/2017",500,"15 "
2018,"N00027533","E1620","07/17/2017",500,"15 "
2018,"N00027533","E1620","07/17/2017",250,"15 "
2018,"N00027533","E1620","07/17/2017",500,"15 "
2018,"N00027533","E2000","09/13/2017",100,"15 "
2018,"N00027533","E1160","04/05/2017",1000,"15E"
2018,"N00027533","E1500","09/08/2017",1000,"15E"
2018,"N00027533","E1620","08/06/2017",300,"15 "
2018,"N00027533","E1620","07/17/2017",500,"15 "
2018,"N00004367","E1620","05/15/2017",100,"15 "
2018,"N00004367","E1620","04/05/2017",250,"15J"
2018,"N00027533","E2000","07/27/2017",75,"15 "
2018,"N00027533","E1620","07/17/2017",250,"15 "
2018,"N00027533","E2000","05/30/2017",350,"15 "
2018,"N00004367","E1110","06/19/2017",100,"15 "
2018,"N00004367","E1150","04/05/2017",1000,"15J"
2018,"N00027533","E1620","07/17/2017",250,"15 "
2018,"N00027533","E1620","08/06/2017",500,"15 "
2018,"N00004367","E1500","04/05/2017",250,"15J"
2018,"N00004367","E3000","05/31/2017",1000,"15J"
2018,"N00027533","E1620","07/17/2017",500,"15 "
2018,"N00004367","E1620","06/11/2017",100,"15E"
2018,"N00004367","E1500","06/24/2017",1000,"15 "
2018,"N00004367","E3000","05/31/2017",666,"15J"
2018,"N00004367","E1120","05/10/2017",1000,"15 "
2018,"N00004367","E1150","04/21/2017",50,"15E"
2018,"N00004367","E1620","04/26/2017",1000,"15 "
2018,"N00004367","E1620","06/30/2017",50,"15 "
2018,"N00004367","E1620","06/14/2017",150,"15 "
2018,"N00004367","E0000","05/31/2017",166,"15J"
2018,"N00004367","E1620","05/26/2017",100,"15E"
2018,"N00004367","E2000","05/27/2017",25,"15E"
2018,"N00004367","E1620","04/20/2017",200,"15 "
2018,"N00005582","E1100","09/01/2017",250,"15 "
2018,"N00005582","E1220","09/14/2017",500,"15 "
2018,"N00040816","E1240","06/12/2017",1000,"15 "
2018,"N00034580","E1500","08/18/2017",250,"15 "
2018,"N00034580","E1500","08/28/2017",1000,"15 "
2018,"N00040816","E1620","09/28/2017",2700,"15 "
2018,"N00040816","E1620","10/02/2017",2700,"15 "
2018,"N00034580","E1000","08/18/2017",500,"15 "
2018,"N00034580","E1500","06/12/2017",500,"15 "
2018,"N00034580","E1100","07/31/2017",500,"15 "
2018,"N00034580","E0000","09/30/2017",500,"15 "
2018,"N00034580","E1500","09/20/2017",500,"15 "
2018,"N00034580","E1000","08/17/2017",500,"15 "
2018,"N00034580","E0000","09/25/2017",1000,"15 "
2018,"N00034580","E0000","09/28/2017",100,"15 "
2018,"N00034580","E1000","05/21/2017",250,"15 "
2018,"N00034580","E1610","06/28/2017",100,"15 "
2018,"N00040816","E1620","09/28/2017",2700,"15 "
2018,"N00034580","E1500","06/12/2017",500,"15 "
2018,"N00034580","E2000","06/09/2017",500,"15 "
2018,"N00034580","E2000","02/11/2017",2700,"15 "
2018,"N00034580","E2000","02/11/2017",2700,"15 "
2018,"N00002097","E1320","09/20/2017",1500,"15 "
2018,"N00005582","E0000","09/01/2017",250,"15 "
2018,"N00034580","E1500","03/05/2017",200,"15 "
2018,"N00002097","E1150","11/02/2017",100,"15E"
2018,"N00034580","E1500","08/18/2017",250,"15 "
2018,"N00029441","E1160","08/17/2017",2700,"15 "
2018,"N00029441","E1160","08/17/2017",2700,"15 "
