Surname, Name
Ackerman, Gary (New York Democrat, District 5)
Aderholt, Robert B (Alabama Republican, District 4)
Adler, John H (New Jersey Democrat, District 3)
Akaka, Daniel K (Hawaii Democrat, Senate)
Akin, Todd (Missouri Republican, District 2)
Alexander, Lamar (Tennessee Republican, Senate)
Alexander, Rodney (Louisiana Republican, District 5)
Altmire, Jason (Pennsylvania Democrat, District 4)
Andrews, Robert E (New Jersey Democrat, District 1)
Arcuri, Mike (New York Democrat, District 24)
Austria, Steve (Ohio Republican, District 7)

B

Baca, Joe (California Democrat, District 43)
Bachmann, Michele (Minnesota Republican, District 6)
Bachus, Spencer (Alabama Republican, District 6)
Baird, Brian (Washington Democrat, District 3)
Baldwin, Tammy (Wisconsin Democrat, District 2)
Barrasso, John A (Wyoming Republican, Senate)
Barrett, Gresham (South Carolina Republican, District 3)
Barrow, John (Georgia Democrat, District 12)
Bartlett, Roscoe G (Maryland Republican, District 6)
Barton, Joe (Texas Republican, District 6)
Baucus, Max (Montana Democrat, Senate)
Bayh, Evan (Indiana Democrat, Senate)
Bean, Melissa (Illinois Democrat, District 8)
Becerra, Xavier (California Democrat, District 31)
Begich, Mark (Alaska Democrat, Senate)
Bennet, Michael (Colorado Democrat, Senate)
Bennett, Robert F (Utah Republican, Senate)
Berkley, Shelley (Nevada Democrat, District 1)
Berman, Howard L (California Democrat, District 28)
Berry, Marion (Arkansas Democrat, District 1)
Biden, Joe (Delaware Democrat, Senate)
Biggert, Judy (Illinois Republican, District 13)
Bilbray, Brian P (California Republican, District 50)
Bilirakis, Gus (Florida Republican, District 9)
Bingaman, Jeff (New Mexico Democrat, Senate)
Bishop, Rob (Utah Republican, District 1)
Bishop, Sanford (Georgia Democrat, District 2)
Bishop, Timothy H (New York Democrat, District 1)
Blackburn, Marsha (Tennessee Republican, District 7)
Blumenauer, Earl (Oregon Democrat, District 3)
Blunt, Roy (Missouri Republican, District 7)
Boccieri, John A (Ohio Democrat, District 16)
Boehner, John (Ohio Republican, District 8)
"Bond, Christopher ""Kit"" (Missouri Republican, Senate)"
Bonner, Jo (Alabama Republican, District 1)
Bono Mack, Mary (California Republican, District 45)
Boozman, John (Arkansas Republican, District 3)
Bordallo, Madeleine Z (Guam Democrat, At Large)
Boren, Dan (Oklahoma Democrat, District 2)
Boswell, Leonard (Iowa Democrat, District 3)
Boucher, Rick (Virginia Democrat, District 9)
Boustany, Charles Jr (Louisiana Republican, District 7)
Boxer, Barbara (California Democrat, Senate)
Boyd, Allen (Florida Democrat, District 2)
Brady, Kevin (Texas Republican, District 8)
Brady, Robert A (Pennsylvania Democrat, District 1)
Braley, Bruce (Iowa Democrat, District 1)
Bright, Bobby (Alabama Democrat, District 2)
Broun, Paul (Georgia Republican, District 10)
Brown, Corrine (Florida Democrat, District 3)
Brown, Henry (South Carolina Republican, District 1)
Brown, Scott (Massachusetts Republican, Senate)
Brown, Sherrod (Ohio Democrat, Senate)
Brown-Waite, Ginny (Florida Republican, District 5)
Brownback, Sam (Kansas Republican, Senate)
Buchanan, Vernon (Florida Republican, District 13)
Bunning, Jim (Kentucky Republican, Senate)
Burgess, Michael (Texas Republican, District 26)
Burr, Richard (North Carolina Republican, Senate)
Burris, Roland (Illinois Democrat, Senate)
Burton, Dan (Indiana Republican, District 5)
Butterfield, G K (North Carolina Democrat, District 1)
Buyer, Steve (Indiana Republican, District 4)

C

Calvert, Ken (California Republican, District 44)
Camp, Dave (Michigan Republican, District 4)
Campbell, John (California Republican, District 48)
Cantor, Eric (Virginia Republican, District 7)
Cantwell, Maria (Washington Democrat, Senate)
Cao, Joseph (Louisiana Republican, District 2)
Capito, Shelley Moore (West Virginia Republican, District 2)
Capps, Lois (California Democrat, District 23)
Capuano, Michael E (Massachusetts Democrat, District 8)
Cardin, Ben (Maryland Democrat, Senate)
Cardoza, Dennis (California Democrat, District 18)
Carnahan, Russ (Missouri Democrat, District 3)
Carney, Chris (Pennsylvania Democrat, District 10)
Carper, Tom (Delaware Democrat, Senate)
Carson, Andre (Indiana Democrat, District 7)
Carter, John (Texas Republican, District 31)
Casey, Bob (Pennsylvania Democrat, Senate)
Cassidy, Bill (Louisiana Republican, District 6)
