"Representative","State","Amount"
"Barr Andy (R-KY)","Kentucky","$74650"
"McCarthy Kevin (R-CA)","California","$68600"
"Rothfus Keith J (R-PA)","Pennsylvania","$54600"
"Johnson Bill (R-OH)","Ohio","$53140"
"Miller Carol (R-WV)","West Virginia","$44950"
"Phillips Rupie Jr (R-WV)","West Virginia","$41480"
"Pence Greg (R-IN)","Indiana","$38700"
"Saccone Rick (R-PA)","Pennsylvania","$35600"
"Bost Mike (R-IL)","Illinois","$32250"
"Griffith Morgan (R-VA)","Virginia","$31300"
"Gianforte Greg (R-MT)","Montana","$28225"
"Kelly Mike (R-PA)","Pennsylvania","$27500"
"McKinley David (R-WV)","West Virginia","$23000"
"Gonzalez Anthony (R-OH)","Ohio","$22600"
"Joyce David P (R-OH)","Ohio","$22200"
"Armstrong Kelly (R-ND)","North Dakota","$22100"
"Bucshon Larry (R-IN)","Indiana","$21900"
"Stivers Steve (R-OH)","Ohio","$21000"
"Foxx Virginia (R-NC)","North Carolina","$19250"
"Reed Dave (R-PA)","Pennsylvania","$17840"
"Reschenthaler Guy (R-PA)","Pennsylvania","$17400"
"Yoder Kevin (R-KS)","Kansas","$16900"
"Bishop Rob (R-UT)","Utah","$16750"
"Cheney Liz (R-WY)","Wyoming","$16000"
"Mooney Alex (R-WV)","West Virginia","$15800"
"Ryan Paul (R-WI)","Wisconsin","$14700"
"Gibbs Bob (R-OH)","Ohio","$14500"
"Shimkus John (R-IL)","Illinois","$14000"
"Walden Greg (R-OR)","Oregon","$14000"
"Taylor Scott (R-VA)","Virginia","$12900"
"Davis Rodney (R-IL)","Illinois","$12600"
"Halcovage George (R-PA)","Pennsylvania","$12600"
"Hollingsworth Trey (R-IN)","Indiana","$11000"
"Bacon Kevin (R-OH)","Ohio","$10800"
"Wenstrup Brad (R-OH)","Ohio","$10225"
"Balderson Troy (R-OH)","Ohio","$10200"
"Chabot Steve (R-OH)","Ohio","$9250"
"Thompson Glenn (R-PA)","Pennsylvania","$9216"
"Tipton Scott (R-CO)","Colorado","$8500"
"Hurd Will (R-TX)","Texas","$8200"
"Meuser Dan (R-PA)","Pennsylvania","$8100"
"Rogers Hal (R-KY)","Kentucky","$8000"
"Wagner Ann (R-MO)","Missouri","$8000"
"Miller Mike (R-FL)","Florida","$7700"
"Steil Bryan (R-WI)","Wisconsin","$7700"
"Rogers Mike D (R-AL)","Alabama","$7000"
"Hern Kevin (R-OK)","Oklahoma","$6500"
"Comstock Barbara (R-VA)","Virginia","$6400"
