"Representative","State","Amount"
"Barr Andy (R-KY)","Kentucky","$87200"
"Ryan Paul (R-WI)","Wisconsin","$58860"
"Rothfus Keith J (R-PA)","Pennsylvania","$43850"
"McKinley David (R-WV)","West Virginia","$37700"
"Kelly Mike (R-PA)","Pennsylvania","$37100"
"Shimkus John (R-IL)","Illinois","$29200"
"Jenkins Evan (R-WV)","West Virginia","$28600"
"Murphy Tim (R-PA)","Pennsylvania","$27200"
"Bost Mike (R-IL)","Illinois","$27050"
"Griffith Morgan (R-VA)","Virginia","$26100"
"Cramer Kevin (R-ND)","North Dakota","$26000"
"Johnson Bill (R-OH)","Ohio","$25800"
"Shuster Bill (R-PA)","Pennsylvania","$25300"
"Tipton Scott (R-CO)","Colorado","$22400"
"Rogers Hal (R-KY)","Kentucky","$21400"
"Comer James (R-KY)","Kentucky","$21251"
"Zinke Ryan (R-MT)","Montana","$21000"
"Mooney Alex (R-WV)","West Virginia","$20726"
"Bucshon Larry (R-IN)","Indiana","$19000"
"Cole Tom (R-OK)","Oklahoma","$17200"
"Boehner John (R-OH)","Ohio","$16900"
"Coffman Mike (R-CO)","Colorado","$15900"
"Stivers Steve (R-OH)","Ohio","$15775"
"McCarthy Kevin (R-CA)","California","$15700"
"Lamborn Doug (R-CO)","Colorado","$15500"
"Joyce David P (R-OH)","Ohio","$13900"
"Lummis Cynthia (R-WY)","Wyoming","$13500"
"Palmer Gary (R-AL)","Alabama","$13300"
"Wagner Ann (R-MO)","Missouri","$12900"
"Walberg Tim (R-MI)","Michigan","$12500"
"Guthrie Brett (R-KY)","Kentucky","$11700"
"Pape Michael (R-KY)","Kentucky","$11700"
"Rogers Mike D (R-AL)","Alabama","$11000"
"Byrne Bradley (R-AL)","Alabama","$10400"
"Mullin Markwayne (R-OK)","Oklahoma","$10000"
"Sewell Terri (D-AL)","Alabama","$10000"
"Calvert Ken (R-CA)","California","$9500"
"Whitfield Ed (R-KY)","Kentucky","$9500"
"Thompson Glenn (R-PA)","Pennsylvania","$9250"
"Houchin Erin (R-IN)","Indiana","$9050"
"Cheney Liz (R-WY)","Wyoming","$9000"
"Stewart Chris (R-UT)","Utah","$8256"
"Aderholt Robert B (R-AL)","Alabama","$8000"
"Bishop Rob (R-UT)","Utah","$8000"
"Fareed Justin (R-CA)","California","$7700"
"Roby Martha (R-AL)","Alabama","$7500"
"Luetkemeyer Blaine (R-MO)","Missouri","$6400"
"Scalise Steve (R-LA)","Louisiana","$6400"
"Atkinson Tom (R-OK)","Oklahoma","$6350"
"Wenstrup Brad (R-OH)","Ohio","$5400"
"Davis Rodney (R-IL)","Illinois","$5100"
"LaHood Darin (R-IL)","Illinois","$5050"
"Barton Joe (R-TX)","Texas","$4500"
"Comstock Barbara (R-VA)","Virginia","$4450"
"Barletta Lou (R-PA)","Pennsylvania","$4200"
"Newhouse Dan (R-WA)","Washington","$4000"
"Upton Fred (R-MI)","Michigan","$4000"
"Simpson Mike (R-ID)","Idaho","$3700"
"Conaway Mike (R-TX)","Texas","$3500"
"Costa Jim (D-CA)","California","$3500"
"Tiberi Pat (R-OH)","Ohio","$3500"
"Walden Greg (R-OR)","Oregon","$3500"
"Bishop Sanford (D-GA)","Georgia","$3000"
"Chaffetz Jason (R-UT)","Utah","$3000"
"Fleischmann Chuck (R-TN)","Tennessee","$3000"
"Gosar Paul (R-AZ)","Arizona","$3000"
"Marino Tom (R-PA)","Pennsylvania","$2950"
"Garrett Tom (R-VA)","Virginia","$2700"
"Kelly Trent (R-MS)","Mississippi","$2700"
"Rogers Wendy (R-AZ)","Arizona","$2700"
"Long Billy (R-MO)","Missouri","$2500"
"Smith Adrian (R-NE)","Nebraska","$2500"
"Buck Ken (R-CO)","Colorado","$2300"
"Ashford Brad (D-NE)","Nebraska","$2000"
"Benishek Dan (R-MI)","Michigan","$2000"
"Foxx Virginia (R-NC)","North Carolina","$2000"
"Frelinghuysen Rodney (R-NJ)","New Jersey","$2000"
"Gibbs Bob (R-OH)","Ohio","$2000"
"Harris Andy (R-MD)","Maryland","$2000"
"Hartzler Vicky (R-MO)","Missouri","$2000"
"Hollingsworth Trey (R-IN)","Indiana","$2000"
"Lujan Ben Ray (D-NM)","New Mexico","$2000"
"Nunes Devin (R-CA)","California","$2000"
"Schrader Kurt (D-OR)","Oregon","$2000"
"Schwartz Gail (D-CO)","Colorado","$2000"
"Smith Jason (R-MO)","Missouri","$2000"
"Walorski Jackie (R-IN)","Indiana","$2000"
"Young Don (R-AK)","Alaska","$2000"
"Brooks Susan (R-IN)","Indiana","$1750"
"Jayapal Pramila (D-WA)","Washington","$1600"
"Duncan John J Jr (R-TN)","Tennessee","$1500"
"Peterson Collin (D-MN)","Minnesota","$1500"
"Tagert Mike (R-MS)","Mississippi","$1250"
"Batts Jason (R-KY)","Kentucky","$1000"
"Bridenstine James (R-OK)","Oklahoma","$1000"
"Cramer Robert (R-IA)","Iowa","$1000"
"Cuellar Henry (D-TX)","Texas","$1000"
"Denham Jeff (R-CA)","California","$1000"
"Dold Bob (R-IL)","Illinois","$1000"
"Faso John (R-NY)","New York","$1000"
"Graves Sam (R-MO)","Missouri","$1000"
"Holding George (R-NC)","North Carolina","$1000"
"Hultgren Randy (R-IL)","Illinois","$1000"
"Hurd Will (R-TX)","Texas","$1000"
"Issa Darrell (R-CA)","California","$1000"
"Kinzinger Adam (R-IL)","Illinois","$1000"
"Massie Thomas (R-KY)","Kentucky","$1000"
"Olson Pete (R-TX)","Texas","$1000"
"Pearce Steve (R-NM)","New Mexico","$1000"
"Pompeo Mike (R-KS)","Kansas","$1000"
"Westerman Bruce (R-AR)","Arkansas","$1000"
"Desjarlais Scott (R-TN)","Tennessee","$800"
"Johnson Lon (D-MI)","Michigan","$600"
"Driskell Gretchen (D-MI)","Michigan","$516"
"Blackburn Marsha (R-TN)","Tennessee","$500"
"Dosev Cris (R-FL)","Florida","$500"
"Flores Bill (R-TX)","Texas","$500"
"Hagedorn Jim (R-MN)","Minnesota","$500"
"Rokita Todd (R-IN)","Indiana","$500"
"Greene Ryan (D-WY)","Wyoming","$430"
"Kemper Nancy Jo (D-KY)","Kentucky","$350"
"Roe Phil (R-TN)","Tennessee","$300"
"Sims Kaleb (R-TX)","Texas","$300"
"Stubson Tim (R-WY)","Wyoming","$300"
"Ruiz Raul (D-CA)","California","$280"
"Khouri Tonia (R-IL)","Illinois","$250"
"Labrador Raul (R-ID)","Idaho","$250"
"Lange John (R-NY)","New York","$250"
"Noem Kristi (R-SD)","South Dakota","$250"
"Reed Jim (D-CA)","California","$250"
"Zoeller Gregory (R-IN)","Indiana","$250"
"Huffman Jared (D-CA)","California","$120"
"Fiore Michele (R-NV)","Nevada","$100"
"Brownley Julia (D-CA)","California","$90"
"Yoder Shelli (D-IN)","Indiana","$25"
"Mooney Patrick (R-FL)","Florida","-$459"
"Cantor Eric (R-VA)","Virginia","-$900"
