"Representative","State","Amount"
"McCarthy Kevin (R-CA)","California","$69300"
"Ryan Paul (R-WI)","Wisconsin","$66050"
"Graves Garret (R-LA)","Louisiana","$64301"
"Denham Jeff (R-CA)","California","$60552"
"Brady Kevin (R-TX)","Texas","$53450"
"Hurd Will (R-TX)","Texas","$51950"
"Upton Fred (R-MI)","Michigan","$49300"
"Olson Pete (R-TX)","Texas","$44500"
"Shuster Bill (R-PA)","Pennsylvania","$42400"
"Culberson John (R-TX)","Texas","$40599"
"Mullin Markwayne (R-OK)","Oklahoma","$36000"
"Cole Tom (R-OK)","Oklahoma","$35400"
"Sessions Pete (R-TX)","Texas","$33900"
"Shimkus John (R-IL)","Illinois","$30000"
"Comstock Barbara (R-VA)","Virginia","$29800"
"Walden Greg (R-OR)","Oregon","$29800"
"Johnson Bill (R-OH)","Ohio","$25200"
"Kelly Mike (R-PA)","Pennsylvania","$24000"
"Walters Mimi (R-CA)","California","$23900"
"Scalise Steve (R-LA)","Louisiana","$22700"
"Flores Bill (R-TX)","Texas","$22500"
"Reed Tom (R-NY)","New York","$21400"
"Rothfus Keith J (R-PA)","Pennsylvania","$21400"
"Collins Chris (R-NY)","New York","$21000"
"Barr Andy (R-KY)","Kentucky","$20452"
"Faso John (R-NY)","New York","$19652"
"Johnson Mike (R-LA)","Louisiana","$19400"
"Roberts Kevin (R-TX)","Texas","$18800"
"Higgins Clay (R-LA)","Louisiana","$18650"
"Katko John (R-NY)","New York","$18552"
"Armstrong Kelly (R-ND)","North Dakota","$18500"
"Bacon Donald John (R-NE)","Nebraska","$18402"
"Pallone Frank Jr (D-NJ)","New Jersey","$17450"
"Cuellar Henry (D-TX)","Texas","$17000"
"Fletcher Lizzie (D-TX)","Texas","$16066"
"Marchant Kenny (R-TX)","Texas","$16000"
"Weber Randy (R-TX)","Texas","$15850"
"Curbelo Carlos (R-FL)","Florida","$15800"
"Coffman Mike (R-CO)","Colorado","$15500"
"Kinzinger Adam (R-IL)","Illinois","$15500"
"Peters Scott (D-CA)","California","$15200"
"Costa Jim (D-CA)","California","$15000"
"McKinley David (R-WV)","West Virginia","$15000"
"Richmond Cedric (D-LA)","Louisiana","$15000"
"Thompson Glenn (R-PA)","Pennsylvania","$15000"
"Reschenthaler Guy (R-PA)","Pennsylvania","$14750"
"Davis Rodney (R-IL)","Illinois","$14500"
"Schrader Kurt (D-OR)","Oregon","$14250"
"Cook Paul (R-CA)","California","$14000"
"Panetta Jimmy (D-CA)","California","$14000"
"Paulsen Erik (R-MN)","Minnesota","$13752"
"Meehan Patrick (R-PA)","Pennsylvania","$13500"
"Neal Richard E (D-MA)","Massachusetts","$13500"
"Smucker Lloyd (R-PA)","Pennsylvania","$13052"
"Stivers Steve (R-OH)","Ohio","$13000"
"Saccone Rick (R-PA)","Pennsylvania","$12500"
"Roy Chip (R-TX)","Texas","$12400"
"Mast Brian (R-FL)","Florida","$12299"
"McCaul Michael (R-TX)","Texas","$12200"
"Bishop Mike (R-MI)","Michigan","$12052"
"Fitzpatrick Brian (R-PA)","Pennsylvania","$12052"
"Gonzalez Vicente (D-TX)","Texas","$12000"
"Babin Brian (R-TX)","Texas","$11400"
"Tipton Scott (R-CO)","Colorado","$11300"
"Green Gene (D-TX)","Texas","$11000"
"Russell Steven (R-OK)","Oklahoma","$11000"
"Nelson Shawn (R-CA)","California","$10700"
"Lewis Jason (R-MN)","Minnesota","$10552"
"Capuano Michael E (D-MA)","Massachusetts","$10100"
"Higgins Brian M (D-NY)","New York","$10100"
"Lucas Frank D (R-OK)","Oklahoma","$10000"
"McHenry Patrick (R-NC)","North Carolina","$10000"
"Reed Dave (R-PA)","Pennsylvania","$10000"
"Rodgers Cathy McMorris (R-WA)","Washington","$10000"
"LaMalfa Doug (R-CA)","California","$9630"
"Hoyer Steny H (D-MD)","Maryland","$9500"
"Lee Susie (D-NV)","Nevada","$9100"
"Tenney Claudia (R-NY)","New York","$9052"
"Larsen Rick (D-WA)","Washington","$9000"
"Ratcliffe John (R-TX)","Texas","$9000"
"Roskam Peter (R-IL)","Illinois","$9000"
"Beyer Don (D-VA)","Virginia","$8900"
"Lamb Conor (D-PA)","Pennsylvania","$8726"
"Doyle Mike (D-PA)","Pennsylvania","$8500"
"Wittman Rob (R-VA)","Virginia","$8500"
"Litton Todd (D-TX)","Texas","$8275"
"Handel Karen (R-GA)","Georgia","$8250"
"Blum Rod (R-IA)","Iowa","$8052"
"Valadao David (R-CA)","California","$8052"
"Young David (R-IA)","Iowa","$8052"
"Donovan Dan (R-NY)","New York","$8000"
"Long Billy (R-MO)","Missouri","$8000"
"Tonko Paul (D-NY)","New York","$8000"
"Bost Mike (R-IL)","Illinois","$7899"
"Gooden Lance (R-TX)","Texas","$7700"
"Hultgren Randy (R-IL)","Illinois","$7500"
"LaHood Darin (R-IL)","Illinois","$7500"
"Norcross Don (D-NJ)","New Jersey","$7500"
"Bishop Rob (R-UT)","Utah","$7250"
"Costello Ryan (R-PA)","Pennsylvania","$7200"
"Morelle Joseph D (D-NY)","New York","$7002"
"Bilirakis Gus (R-FL)","Florida","$7000"
"Graves Sam (R-MO)","Missouri","$7000"
"Hern Kevin (R-OK)","Oklahoma","$7000"
"Joyce David P (R-OH)","Ohio","$7000"
"Lujan Ben Ray (D-NM)","New Mexico","$7000"
"Vela Filemon (D-TX)","Texas","$7000"
"Harbaugh Ken (D-OH)","Ohio","$6925"
"Crenshaw Dan (R-TX)","Texas","$6900"
"Poliquin Bruce (R-ME)","Maine","$6700"
"Buck Ken (R-CO)","Colorado","$6500"
"Gibbs Bob (R-OH)","Ohio","$6500"
"MacArthur Thomas (R-NJ)","New Jersey","$6400"
"Ryan Tim (D-OH)","Ohio","$6200"
"Amodei Mark (R-NV)","Nevada","$6000"
"Boyle Brendan (D-PA)","Pennsylvania","$6000"
"Bruun Bech (R-TX)","Texas","$6000"
"Carter Buddy (R-GA)","Georgia","$6000"
"Latta Bob (R-OH)","Ohio","$6000"
"Torres Norma (D-CA)","California","$6000"
"Yoder Kevin (R-KS)","Kansas","$6000"
"Slotkin Elissa (D-MI)","Michigan","$5900"
"Balderson Troy (R-OH)","Ohio","$5500"
"Carter John (R-TX)","Texas","$5500"
"Clyburn James E (D-SC)","South Carolina","$5500"
"Duncan Jeff (R-SC)","South Carolina","$5500"
"Griffith Morgan (R-VA)","Virginia","$5500"
"Hudson Richard (R-NC)","North Carolina","$5500"
"Luria Elaine (D-VA)","Virginia","$5457"
"Golden Jared (D-ME)","Maine","$5425"
"Levin Mike (D-CA)","California","$5404"
"Issa Darrell (R-CA)","California","$5400"
"Koh Dan (D-MA)","Massachusetts","$5400"
"Williams Roger (R-TX)","Texas","$5400"
"Knight Steve (R-CA)","California","$5352"
"Nunes Devin (R-CA)","California","$5250"
"Duffy Sean P (R-WI)","Wisconsin","$5000"
"Ellzey Jake (R-TX)","Texas","$5000"
"Gallagher Mike (R-WI)","Wisconsin","$5000"
"Gottheimer Josh (D-NJ)","New Jersey","$5000"
"Isaac Jason (R-TX)","Texas","$5000"
"Joyce John (R-PA)","Pennsylvania","$5000"
"Rogers Hal (R-KY)","Kentucky","$5000"
"Rush Bobby (D-IL)","Illinois","$5000"
"Simpson Mike (R-ID)","Idaho","$5000"
"Stefanik Elise (R-NY)","New York","$5000"
"Steil Bryan (R-WI)","Wisconsin","$5000"
"Taylor Scott (R-VA)","Virginia","$4954"
"Correa Lou (D-CA)","California","$4500"
"Crowley Joseph (D-NY)","New York","$4500"
"Farenthold Blake (R-TX)","Texas","$4500"
"Graves Tom (R-GA)","Georgia","$4500"
"Guthrie Brett (R-KY)","Kentucky","$4500"
"Mooney Alex (R-WV)","West Virginia","$4500"
"Thompson Bennie G (D-MS)","Mississippi","$4500"
"Walberg Tim (R-MI)","Michigan","$4500"
"Walorski Jackie (R-IN)","Indiana","$4500"
"Abraham Ralph (R-LA)","Louisiana","$4250"
"Barragan Nanette (D-CA)","California","$4015"
"Burgess Michael (R-TX)","Texas","$4000"
"Estes Ron (R-KS)","Kansas","$4000"
"Lance Leonard (R-NJ)","New Jersey","$4000"
"Moulton Seth (D-MA)","Massachusetts","$4000"
"Perry Scott (R-PA)","Pennsylvania","$4000"
"Smith Jason (R-MO)","Missouri","$4000"
"Zeldin Lee (R-NY)","New York","$4000"
"Welle Josh (D-NJ)","New Jersey","$3820"
"Triantaphyllis Alex (D-TX)","Texas","$3750"
"Fleischmann Chuck (R-TN)","Tennessee","$3500"
"Gianforte Greg (R-MT)","Montana","$3500"
"Gilpin Tim (D-OK)","Oklahoma","$3500"
"Kaptur Marcy (D-OH)","Ohio","$3500"
"McNerney Jerry (D-CA)","California","$3500"
"Miller Carol (R-WV)","West Virginia","$3500"
"Napolitano Grace (D-CA)","California","$3500"
"Tiberi Pat (R-OH)","Ohio","$3500"
"Blumenauer Earl (D-OR)","Oregon","$3275"
"Gomez Jimmy (D-CA)","California","$3250"
"Cline Ben (R-VA)","Virginia","$3200"
"Beutler Jaime Herrera (R-WA)","Washington","$3100"
"Rochester Lisa Blunt (D-DE)","Delaware","$3025"
"Garcia Sylvia (D-TX)","Texas","$3001"
"Biggs Andy (R-AZ)","Arizona","$3000"
"Cardenas Tony (D-CA)","California","$3000"
"Cheney Liz (R-WY)","Wyoming","$3000"
"Harris Tim (R-OK)","Oklahoma","$3000"
"Kind Ron (D-WI)","Wisconsin","$3000"
"Matsui Doris (D-CA)","California","$3000"
"Palazzo Steven (R-MS)","Mississippi","$3000"
