"Representative","State","Amount"
"McCarthy Kevin (R-CA)","California","$66420"
"Barr Andy (R-KY)","Kentucky","$55169"
"Cheney Liz (R-WY)","Wyoming","$44816"
"Armstrong Kelly (R-ND)","North Dakota","$42200"
"Parnell Sean (R-PA)","Pennsylvania","$39150"
"Johnson Bill (R-OH)","Ohio","$38350"
"McKinley David (R-WV)","West Virginia","$37288"
"Bost Mike (R-IL)","Illinois","$36400"
"Miller Carol (R-WV)","West Virginia","$29999"
"Reschenthaler Guy (R-PA)","Pennsylvania","$26829"
"Amodei Mark (R-NV)","Nevada","$26250"
"Bucshon Larry (R-IN)","Indiana","$24800"
"Gosar Paul (R-AZ)","Arizona","$22975"
"Joyce David P (R-OH)","Ohio","$21150"
"Meuser Dan (R-PA)","Pennsylvania","$21000"
"Stauber Pete (R-MN)","Minnesota","$20731"
"Horsford Steven (D-NV)","Nevada","$20305"
"Young Don (R-AK)","Alaska","$18294"
"Thompson Glenn (R-PA)","Pennsylvania","$17550"
"Skarlatos Alek (R-OR)","Oregon","$17375"
"Kelly Mike (R-PA)","Pennsylvania","$17000"
"Griffith Morgan (R-VA)","Virginia","$16750"
"Mooney Alex (R-WV)","West Virginia","$16705"
"Gonzalez Anthony (R-OH)","Ohio","$16700"
"Lee Susie (D-NV)","Nevada","$15796"
"Lesko Debbie (R-AZ)","Arizona","$15678"
"Handel Karen (R-GA)","Georgia","$15545"
"Foxx Virginia (R-NC)","North Carolina","$15013"
"Rodgers Cathy McMorris (R-WA)","Washington","$14828"
"Curtis John (R-UT)","Utah","$14500"
"Laturner Jake (R-KS)","Kansas","$14500"
"Hinson Ashley (R-IA)","Iowa","$13741"
"Lamb Conor (D-PA)","Pennsylvania","$13710"
"Walden Greg (R-OR)","Oregon","$13500"
"Stivers Steve (R-OH)","Ohio","$13200"
"Stanton Greg (D-AZ)","Arizona","$12555"
"Simpson Mike (R-ID)","Idaho","$12500"
"Taylor Scott (R-VA)","Virginia","$12431"
"Mullin Markwayne (R-OK)","Oklahoma","$11900"
"Collins Genevieve (R-TX)","Texas","$11863"
"Cuellar Henry (D-TX)","Texas","$11750"
"Biggs Andy (R-AZ)","Arizona","$11550"
"O'Halleran Tom (D-AZ)","Arizona","$11524"
"Adkins Amanda (R-KS)","Kansas","$11300"
"Costa Jim (D-CA)","California","$11250"
